time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.002930,0.001864,-0.006769,-0.000000,0.001864,-0.006769,-0.000000,0.152590,0.000000,0.000000
0.013040,0.000589,-0.000196,0.013734,0.000589,-0.000196,0.013734,0.122070,0.000000,0.000000
0.023110,-0.001177,0.004611,0.014911,-0.001177,0.004611,0.014911,0.122070,0.030520,0.000000
0.033050,-0.009516,0.007652,0.010693,-0.009516,0.007652,0.010693,0.061040,0.000000,0.000000
0.043110,-0.010104,0.004022,0.006573,-0.010104,0.004022,0.006573,0.061040,0.000000,0.000000
0.053170,-0.010104,-0.004316,0.014323,-0.010104,-0.004316,0.014323,0.061040,0.000000,0.000000
0.063310,-0.007161,0.001668,0.012557,-0.007161,0.001668,0.012557,0.030520,0.000000,0.000000
0.073390,-0.011968,-0.001962,0.008927,-0.011968,-0.001962,0.008927,0.030520,-0.030520,0.030520
0.083520,-0.004807,-0.006769,0.005984,-0.004807,-0.006769,0.005984,0.030520,0.030520,0.030520
0.093480,-0.006573,-0.007358,0.002943,-0.006573,-0.007358,0.002943,0.030520,0.000000,0.030520
0.103600,-0.001766,-0.005592,0.003532,-0.001766,-0.005592,0.003532,0.030520,0.061040,0.030520
0.113690,-0.004120,-0.004905,0.010104,-0.004120,-0.004905,0.010104,0.030520,0.061040,0.061040
0.123700,-0.004120,-0.009123,0.005984,-0.004120,-0.009123,0.005984,0.000000,0.091550,0.030520
0.133860,-0.011380,-0.009123,0.007750,-0.011380,-0.009123,0.007750,0.000000,0.061040,0.000000
0.143940,-0.007750,-0.008535,0.001766,-0.007750,-0.008535,0.001766,0.000000,0.030520,0.000000
0.153920,-0.002943,-0.017560,-0.004218,-0.002943,-0.017560,-0.004218,0.000000,0.000000,0.030520
0.163980,-0.004807,-0.015696,-0.001275,-0.004807,-0.015696,-0.001275,0.000000,0.000000,0.061040
0.174070,0.001275,-0.009123,0.001177,0.001275,-0.009123,0.001177,0.030520,-0.030520,0.030520
0.184130,0.001864,-0.008535,-0.003630,0.001864,-0.008535,-0.003630,0.030520,-0.030520,0.030520
0.194210,0.008437,-0.006769,-0.006671,0.008437,-0.006769,-0.006671,0.061040,0.000000,0.000000
0.204260,0.003041,-0.007358,-0.007259,0.003041,-0.007358,-0.007259,0.061040,0.000000,0.000000
0.214320,0.003041,-0.005592,-0.001275,0.003041,-0.005592,-0.001275,0.030520,0.030520,0.030520
0.224390,-0.003532,-0.007358,0.001177,-0.003532,-0.007358,0.001177,0.061040,0.030520,0.030520
0.234450,-0.002354,-0.007358,-0.000000,-0.002354,-0.007358,-0.000000,0.061040,0.030520,0.000000
0.244520,0.001275,-0.009712,-0.002453,0.001275,-0.009712,-0.002453,0.091550,0.030520,0.061040
0.254720,0.006573,-0.007358,-0.004807,0.006573,-0.007358,-0.004807,0.061040,0.000000,0.091550
0.264710,0.008437,-0.010889,-0.003630,0.008437,-0.010889,-0.003630,0.030520,0.000000,0.030520
0.274770,0.001864,-0.004316,0.005297,0.001864,-0.004316,0.005297,0.061040,0.000000,0.030520
0.284850,-0.000589,-0.000785,0.002354,-0.000589,-0.000785,0.002354,0.091550,-0.030520,0.030520
0.294910,-0.000589,-0.005592,-0.009025,-0.000589,-0.005592,-0.009025,0.091550,0.000000,0.000000
0.304990,-0.005396,0.000491,-0.007259,-0.005396,0.000491,-0.007259,0.152590,-0.030520,0.000000
0.315040,-0.003532,-0.004316,0.005297,-0.003532,-0.004316,0.005297,0.152590,0.000000,0.000000
0.325730,-0.005984,-0.007358,0.004120,-0.005984,-0.007358,0.004120,0.152590,0.000000,0.000000
0.335830,-0.008339,-0.003139,-0.003041,-0.008339,-0.003139,-0.003041,0.122070,0.030520,0.000000
0.345850,-0.002943,-0.004905,-0.004807,-0.002943,-0.004905,-0.004807,0.091550,0.030520,0.000000
0.355740,-0.003532,-0.006180,-0.007848,-0.003532,-0.006180,-0.007848,0.091550,0.061040,0.000000
0.365850,-0.005984,-0.004905,-0.001275,-0.005984,-0.004905,-0.001275,0.091550,0.061040,0.030520
0.376020,0.000000,-0.009123,-0.000687,0.000000,-0.009123,-0.000687,0.061040,0.030520,0.030520
0.386110,-0.004807,-0.014519,-0.012066,-0.004807,-0.014519,-0.012066,0.030520,0.000000,0.061040
0.396070,-0.004120,-0.016285,-0.006671,-0.004120,-0.016285,-0.006671,0.030520,0.030520,0.061040
