time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.000662,-0.069456,0.025148,10.044113,-0.003288,0.001504,-0.006941,-0.030518,0.030518,0.000000
0.010731,-0.062869,0.024549,10.043514,0.003298,0.000906,-0.007540,-0.030518,0.061035,0.000000
0.020797,-0.064067,0.026944,10.048304,0.002101,0.003301,-0.002750,0.000000,0.030518,0.000000
0.030863,-0.056882,0.021555,10.046508,0.009286,-0.002088,-0.004546,-0.030518,0.030518,-0.061035
0.040927,-0.060474,0.020358,10.047706,0.005693,-0.003286,-0.003349,-0.030518,0.030518,-0.030518
0.050994,-0.061672,0.014370,10.042916,0.004496,-0.009273,-0.008139,-0.030518,0.030518,-0.030518
0.061059,-0.064666,0.014969,10.039323,0.001502,-0.008674,-0.011731,-0.030518,0.000000,0.000000
0.071146,-0.069456,0.014370,10.046508,-0.003288,-0.009273,-0.004546,-0.030518,0.030518,0.000000
0.081244,-0.066462,0.015568,10.046508,-0.000294,-0.008076,-0.004546,-0.030518,0.030518,0.000000
0.091340,-0.067659,0.014370,10.047706,-0.001492,-0.009273,-0.003349,-0.030518,0.000000,0.000000
0.101432,-0.068857,0.021555,10.044113,-0.002689,-0.002088,-0.006941,-0.030518,0.000000,0.030518
0.111529,-0.069456,0.019759,10.040521,-0.003288,-0.003884,-0.010534,-0.030518,0.000000,0.030518
0.121628,-0.068258,0.024549,10.045311,-0.002090,0.000906,-0.005744,-0.061035,0.000000,0.000000
0.131723,-0.067061,0.025148,10.045909,-0.000893,0.001504,-0.005145,-0.061035,0.000000,0.000000
0.141824,-0.064067,0.031734,10.040521,0.002101,0.008091,-0.010534,-0.061035,0.000000,0.000000
0.151916,-0.067659,0.033530,10.042317,-0.001492,0.009887,-0.008737,-0.030518,-0.030518,0.000000
0.162005,-0.065863,0.033530,10.041718,0.000305,0.009887,-0.009336,0.000000,0.030518,-0.030518
0.172096,-0.067061,0.035925,10.051897,-0.000893,0.012282,0.000843,0.030518,0.030518,-0.030518
0.182195,-0.064067,0.031734,10.050699,0.002101,0.008091,-0.000355,0.030518,0.000000,-0.030518
0.192292,-0.067061,0.022753,10.052496,-0.000893,-0.000891,0.001442,0.000000,0.030518,0.000000
0.202389,-0.070653,0.022154,10.051897,-0.004485,-0.001489,0.000843,-0.030518,0.030518,-0.030518
0.212486,-0.075443,0.029339,10.049502,-0.009275,0.005696,-0.001552,-0.030518,0.061035,-0.030518
0.222582,-0.070653,0.031135,10.048903,-0.004485,0.007492,-0.002151,-0.030518,0.030518,-0.030518
0.232679,-0.068857,0.033530,10.048903,-0.002689,0.009887,-0.002151,0.000000,0.030518,0.000000
0.242776,-0.060474,0.032932,10.050699,0.005693,0.009288,-0.000355,0.000000,0.030518,0.000000
0.252873,-0.053888,0.034129,10.050101,0.012280,0.010486,-0.000954,-0.030518,0.000000,0.000000
0.262969,-0.050894,0.033530,10.054292,0.015273,0.009887,0.003238,-0.030518,0.030518,0.000000
0.273059,-0.054487,0.026345,10.050699,0.011681,0.002702,-0.000355,-0.030518,0.030518,0.000000
0.283150,-0.059277,0.029339,10.052496,0.006891,0.005696,0.001442,-0.030518,0.030518,0.030518
0.293240,-0.059875,0.028141,10.049502,0.006292,0.004498,-0.001552,-0.061035,0.000000,0.000000
0.303330,-0.061672,0.022753,10.043514,0.004496,-0.000891,-0.007540,-0.061035,0.000000,0.000000
0.313420,-0.064067,0.021555,10.041119,0.002101,-0.002088,-0.009935,-0.030518,0.000000,-0.030518
0.323507,-0.065863,0.020956,10.048903,0.000305,-0.002687,-0.002151,-0.030518,0.000000,-0.030518
0.333598,-0.069456,0.025148,10.047107,-0.003288,0.001504,-0.003947,-0.030518,0.000000,-0.030518
0.343689,-0.076042,0.022154,10.048304,-0.009874,-0.001489,-0.002750,-0.030518,0.030518,-0.030518
0.353779,-0.076641,0.026345,10.045311,-0.010473,0.002702,-0.005744,-0.061035,0.030518,0.000000
0.363869,-0.077838,0.028740,10.047706,-0.011670,0.005097,-0.003349,-0.030518,0.030518,0.000000
0.373962,-0.067659,0.016166,10.047107,-0.001492,-0.007477,-0.003947,0.030518,0.000000,-0.030518
0.384058,-0.064666,0.013771,10.046508,0.001502,-0.009872,-0.004546,0.030518,0.000000,-0.030518
0.394156,-0.068258,0.010778,10.048903,-0.002090,-0.012866,-0.002151,0.000000,0.030518,-0.061035
0.404252,-0.068857,0.013771,10.038126,-0.002689,-0.009872,-0.012929,-0.030518,0.030518,-0.061035
0.414350,-0.062271,0.017364,10.035132,0.003897,-0.006279,-0.015922,0.000000,0.000000,-0.030518
0.424447,-0.066462,0.010179,10.036928,-0.000294,-0.013465,-0.014126,-0.030518,0.000000,-0.030518
0.434544,-0.065863,0.016166,10.039922,0.000305,-0.007477,-0.011132,-0.061035,-0.030518,-0.030518
0.444640,-0.078437,0.017364,10.035132,-0.012269,-0.006279,-0.015922,-0.061035,-0.030518,-0.030518
0.454738,-0.074246,0.016765,10.038126,-0.008078,-0.006878,-0.012929,-0.061035,-0.030518,0.000000
0.464835,-0.064666,0.023351,10.045311,0.001502,-0.000292,-0.005744,-0.061035,0.000000,-0.061035
0.474932,-0.061073,0.026944,10.048304,0.005095,0.003301,-0.002750,-0.030518,-0.030518,-0.061035
0.485025,-0.058079,0.023950,10.045311,0.008088,0.000307,-0.005744,0.000000,0.000000,-0.030518
0.495122,-0.065264,0.029339,10.038126,0.000903,0.005696,-0.012929,-0.030518,0.061035,-0.030518
0.505219,-0.068857,0.029938,10.030342,-0.002689,0.006294,-0.020712,-0.030518,0.061035,-0.030518
0.515317,-0.064067,0.025148,10.043514,0.002101,0.001504,-0.007540,0.000000,0.030518,0.000000
0.525415,-0.058678,0.028141,10.047107,0.007490,0.004498,-0.003947,0.000000,0.061035,0.000000
0.535527,-0.059277,0.034728,10.040521,0.006891,0.011084,-0.010534,0.061035,0.000000,0.000000
0.545625,-0.059875,0.032932,10.041119,0.006292,0.009288,-0.009935,0.030518,0.000000,0.000000
0.555722,-0.058678,0.034129,10.040521,0.007490,0.010486,-0.010534,0.061035,0.030518,0.000000
0.565820,-0.061073,0.031734,10.042916,0.005095,0.008091,-0.008139,0.061035,0.030518,0.000000
0.575909,-0.058079,0.025746,10.039922,0.008088,0.002103,-0.011132,0.061035,0.030518,0.030518
0.585999,-0.069456,0.026944,10.041718,-0.003288,0.003301,-0.009336,0.030518,0.030518,0.030518
0.596090,-0.070054,0.022154,10.042317,-0.003887,-0.001489,-0.008737,0.030518,0.030518,0.000000
0.606179,-0.070653,0.026944,10.033336,-0.004485,0.003301,-0.017719,0.061035,0.030518,-0.030518
0.616270,-0.069456,0.026345,10.042916,-0.003288,0.002702,-0.008139,0.030518,0.030518,-0.030518
