time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.002910,-0.005984,-0.002649,-0.008633,-0.005984,-0.002649,-0.008633,0.030520,0.061040,0.000000
0.013020,-0.001177,0.002158,-0.005003,-0.001177,0.002158,-0.005003,0.030520,0.061040,0.000000
0.023050,-0.001177,0.003924,-0.010987,-0.001177,0.003924,-0.010987,0.030520,0.061040,0.030520
0.033100,-0.001864,0.005101,-0.012753,-0.001864,0.005101,-0.012753,0.061040,0.061040,0.000000
0.043110,0.004120,0.000883,-0.002060,0.004120,0.000883,-0.002060,0.030520,0.061040,0.000000
0.053200,-0.000589,0.007554,-0.002060,-0.000589,0.007554,-0.002060,0.030520,0.030520,-0.030520
0.063310,0.000589,0.000883,-0.006180,0.000589,0.000883,-0.006180,0.030520,0.061040,0.000000
0.073370,-0.000589,0.000294,-0.006180,-0.000589,0.000294,-0.006180,0.030520,0.061040,-0.030520
0.083380,0.005984,0.000294,-0.010987,0.005984,0.000294,-0.010987,0.061040,0.061040,-0.030520
0.093470,0.002943,0.005690,-0.009221,0.002943,0.005690,-0.009221,0.061040,0.061040,0.000000
0.103580,0.005396,0.000294,-0.009221,0.005396,0.000294,-0.009221,0.091550,0.091550,0.000000
0.113610,0.012557,0.004513,-0.008633,0.012557,0.004513,-0.008633,0.061040,0.061040,-0.030520
0.123660,0.011968,0.004513,-0.015794,0.011968,0.004513,-0.015794,0.091550,0.061040,0.000000
0.133870,0.000589,0.001570,-0.012753,0.000589,0.001570,-0.012753,0.061040,0.091550,0.000000
0.143830,0.005396,-0.000883,-0.008633,0.005396,-0.000883,-0.008633,0.061040,0.091550,-0.030520
0.153890,-0.001177,-0.002649,-0.007456,-0.001177,-0.002649,-0.007456,0.030520,0.030520,0.000000
0.164080,-0.004218,-0.002649,-0.003237,-0.004218,-0.002649,-0.003237,0.030520,0.030520,-0.030520
0.174040,0.001177,0.000294,-0.002060,0.001177,0.000294,-0.002060,0.000000,0.030520,-0.030520
0.184100,-0.000589,-0.003826,-0.005003,-0.000589,-0.003826,-0.005003,0.000000,0.000000,-0.030520
0.194170,0.000589,0.001570,-0.002060,0.000589,0.001570,-0.002060,-0.030520,0.000000,-0.030520
0.204250,0.001177,0.003335,-0.003826,0.001177,0.003335,-0.003826,0.030520,0.030520,0.000000
0.214300,0.002354,-0.003237,-0.010987,0.002354,-0.003237,-0.010987,0.030520,0.030520,0.030520
0.224370,0.006573,0.001570,-0.015206,0.006573,0.001570,-0.015206,0.061040,0.061040,0.030520
0.234430,0.007161,0.007554,-0.010987,0.007161,0.007554,-0.010987,0.061040,0.030520,0.030520
0.244500,0.009516,0.014126,-0.005003,0.009516,0.014126,-0.005003,0.000000,0.061040,0.000000
0.254570,0.003532,0.009908,-0.005592,0.003532,0.009908,-0.005592,0.000000,0.061040,-0.030520
0.264630,0.004807,0.006278,-0.006769,0.004807,0.006278,-0.006769,0.000000,0.061040,0.000000
0.274960,0.003532,0.003924,-0.011576,0.003532,0.003924,-0.011576,0.000000,0.091550,0.000000
0.284960,0.008339,0.000294,-0.010987,0.008339,0.000294,-0.010987,0.000000,0.091550,-0.030520
0.295150,0.002943,0.009319,-0.009221,0.002943,0.009319,-0.009221,0.000000,0.091550,0.000000
0.305330,-0.000000,0.010497,-0.014028,-0.000000,0.010497,-0.014028,0.000000,0.061040,0.000000
0.315570,-0.000589,0.006278,-0.010399,-0.000589,0.006278,-0.010399,0.030520,0.061040,0.000000
0.325370,-0.001177,-0.004513,-0.014617,-0.001177,-0.004513,-0.014617,0.030520,0.030520,-0.030520
0.335420,-0.003041,-0.005101,-0.010399,-0.003041,-0.005101,-0.010399,0.000000,0.061040,0.000000
0.345380,-0.004807,-0.003237,-0.007456,-0.004807,-0.003237,-0.007456,0.000000,0.061040,-0.030520
0.355550,-0.001177,-0.002060,-0.007456,-0.001177,-0.002060,-0.007456,0.000000,0.061040,-0.061040
0.365540,-0.001864,-0.003237,-0.012164,-0.001864,-0.003237,-0.012164,-0.030520,0.000000,-0.030520
0.375580,-0.005396,0.003924,-0.009221,-0.005396,0.003924,-0.009221,0.030520,0.030520,-0.030520
0.385650,-0.004807,-0.000883,-0.006769,-0.004807,-0.000883,-0.006769,0.030520,0.030520,0.000000
0.395720,-0.003630,-0.000883,-0.004415,-0.003630,-0.000883,-0.004415,0.061040,0.030520,0.000000
0.405780,0.004807,-0.000883,-0.004415,0.004807,-0.000883,-0.004415,0.061040,0.030520,-0.030520
0.415840,0.004120,0.001570,-0.010987,0.004120,0.001570,-0.010987,0.061040,0.061040,0.000000
0.425910,0.003532,0.003924,-0.019424,0.003532,0.003924,-0.019424,0.061040,0.061040,0.000000
0.435980,0.004120,0.003335,-0.016383,0.004120,0.003335,-0.016383,0.030520,0.030520,0.000000
0.446040,0.001766,0.006278,-0.008044,0.001766,0.006278,-0.008044,0.030520,0.030520,0.000000
0.456110,0.006573,0.005690,-0.008633,0.006573,0.005690,-0.008633,0.030520,0.030520,0.000000
0.466170,0.007161,0.010497,-0.009810,0.007161,0.010497,-0.009810,0.000000,0.030520,0.030520
0.476240,0.002354,0.011085,-0.014617,0.002354,0.011085,-0.014617,0.030520,0.000000,0.030520
0.486300,0.005984,0.016481,0.002158,0.005984,0.016481,0.002158,0.061040,0.030520,0.030520
0.496390,0.005396,0.015304,-0.002060,0.005396,0.015304,-0.002060,0.061040,0.030520,0.030520
0.506440,0.008927,0.009319,-0.005003,0.008927,0.009319,-0.005003,0.061040,0.030520,0.061040
0.516500,0.005984,0.009908,-0.003826,0.005984,0.009908,-0.003826,0.091550,0.030520,0.061040
0.526570,0.009516,0.009908,-0.004415,0.009516,0.009908,-0.004415,0.061040,0.061040,0.030520
0.536630,0.008339,0.003924,0.002158,0.008339,0.003924,0.002158,0.061040,0.030520,0.061040
0.546700,0.014323,0.004513,-0.004415,0.014323,0.004513,-0.004415,0.030520,0.030520,0.091550
0.556770,0.010202,0.009908,-0.006769,0.010202,0.009908,-0.006769,0.030520,0.061040,0.000000
0.566830,0.011380,0.005101,-0.003826,0.011380,0.005101,-0.003826,0.030520,0.030520,0.000000
0.576900,0.005984,0.005101,-0.009810,0.005984,0.005101,-0.009810,0.030520,0.030520,0.030520
0.586960,-0.000589,0.003924,-0.006769,-0.000589,0.003924,-0.006769,0.000000,0.030520,0.030520
0.597050,0.004807,0.004513,-0.005003,0.004807,0.004513,-0.005003,0.000000,0.030520,0.061040
0.607100,0.013145,-0.000294,-0.008633,0.013145,-0.000294,-0.008633,0.030520,0.091550,0.030520
0.617160,0.006573,0.005101,-0.007456,0.006573,0.005101,-0.007456,0.030520,0.061040,0.030520
0.627360,0.008339,0.009908,0.000392,0.008339,0.009908,0.000392,0.030520,0.091550,0.030520
0.637320,0.006573,0.007554,0.006377,0.006573,0.007554,0.006377,0.061040,0.061040,0.030520
0.647390,0.009516,0.009908,0.001570,0.009516,0.009908,0.001570,0.030520,0.091550,0.030520
0.657450,0.005984,0.006867,-0.003826,0.005984,0.006867,-0.003826,0.030520,0.061040,0.000000
0.667520,0.008339,0.005690,-0.007456,0.008339,0.005690,-0.007456,0.000000,0.061040,0.000000
0.677590,0.011968,0.006867,-0.006769,0.011968,0.006867,-0.006769,0.030520,0.061040,-0.030520
0.687750,0.008927,-0.000294,0.000392,0.008927,-0.000294,0.000392,0.030520,0.061040,-0.030520
0.697780,0.000589,-0.000294,-0.002060,0.000589,-0.000294,-0.002060,0.000000,0.030520,0.000000
0.707810,0.006573,0.002158,-0.003826,0.006573,0.002158,-0.003826,0.000000,0.061040,0.000000
0.717870,0.002943,0.004513,-0.002649,0.002943,0.004513,-0.002649,0.000000,0.061040,0.000000
0.727930,0.002354,0.000883,-0.010399,0.002354,0.000883,-0.010399,0.000000,0.061040,0.030520
0.738000,0.004120,0.001570,-0.005592,0.004120,0.001570,-0.005592,0.030520,0.030520,0.030520
0.748060,-0.002453,-0.002060,-0.002060,-0.002453,-0.002060,-0.002060,0.000000,0.000000,0.061040
0.758140,-0.000000,0.000294,-0.005592,-0.000000,0.000294,-0.005592,0.030520,0.030520,0.030520
0.768390,0.001766,-0.000883,-0.016383,0.001766,-0.000883,-0.016383,0.061040,0.061040,0.000000
0.778320,0.004120,0.005690,-0.016971,0.004120,0.005690,-0.016971,0.061040,0.061040,0.000000
0.788360,0.007750,0.008142,-0.005003,0.007750,0.008142,-0.005003,0.000000,0.061040,0.000000
0.798420,0.013145,0.006867,-0.009810,0.013145,0.006867,-0.009810,0.030520,0.030520,-0.061040
0.808510,0.013145,0.003335,-0.007456,0.013145,0.003335,-0.007456,0.030520,0.030520,0.000000
0.818560,0.006573,0.011085,-0.002649,0.006573,0.011085,-0.002649,0.030520,0.030520,0.030520
0.828620,0.006573,0.011085,-0.001373,0.006573,0.011085,-0.001373,0.030520,0.030520,0.030520
0.838690,0.004807,0.006278,0.000981,0.004807,0.006278,0.000981,0.030520,0.030520,0.030520
0.848750,0.007750,0.002158,0.000981,0.007750,0.002158,0.000981,0.061040,0.061040,0.061040
0.858820,0.010202,0.005690,-0.004415,0.010202,0.005690,-0.004415,0.091550,0.091550,0.061040
0.868880,0.013145,0.009319,-0.001373,0.013145,0.009319,-0.001373,0.091550,0.061040,0.030520
0.878950,0.016775,0.009319,-0.003237,0.016775,0.009319,-0.003237,0.091550,0.061040,0.000000
0.889020,0.015500,0.008731,-0.000196,0.015500,0.008731,-0.000196,0.061040,0.030520,0.030520
0.899100,0.016186,0.003335,0.003335,0.016186,0.003335,0.003335,0.030520,0.061040,-0.030520
0.909150,0.013145,-0.000883,0.002747,0.013145,-0.000883,0.002747,0.061040,0.030520,-0.030520
0.919210,0.007161,0.005101,-0.000785,0.007161,0.005101,-0.000785,0.061040,0.000000,-0.030520
0.929280,0.001766,0.003335,-0.002060,0.001766,0.003335,-0.002060,0.030520,0.061040,0.000000
0.939350,-0.003041,0.003924,0.003335,-0.003041,0.003924,0.003335,0.000000,0.061040,0.030520
0.949410,0.001177,0.005690,0.002158,0.001177,0.005690,0.002158,0.000000,0.061040,0.000000
0.959480,-0.000000,0.007554,-0.005003,-0.000000,0.007554,-0.005003,0.030520,0.061040,0.000000
0.969540,0.004807,0.007554,-0.007456,0.004807,0.007554,-0.007456,0.061040,0.061040,0.000000
0.979610,0.005396,0.005690,-0.012164,0.005396,0.005690,-0.012164,0.030520,0.061040,-0.030520
0.989670,0.004120,0.012851,-0.009221,0.004120,0.012851,-0.009221,0.000000,0.030520,0.000000
0.999740,0.003532,0.014126,-0.008633,0.003532,0.014126,-0.008633,0.000000,0.030520,0.000000
1.009810,0.004120,0.011085,-0.002060,0.004120,0.011085,-0.002060,0.000000,0.000000,0.000000
1.019870,0.002943,0.008731,-0.006180,0.002943,0.008731,-0.006180,0.061040,0.000000,0.000000
1.029940,0.008927,-0.000294,-0.008633,0.008927,-0.000294,-0.008633,0.061040,0.000000,0.000000
1.040000,0.005984,0.000883,-0.000785,0.005984,0.000883,-0.000785,0.061040,0.030520,0.000000
1.050070,0.004807,0.001570,0.004611,0.004807,0.001570,0.004611,0.061040,0.030520,0.030520
1.060140,0.001177,0.005101,-0.001373,0.001177,0.005101,-0.001373,0.061040,0.030520,0.000000
1.070270,-0.004807,0.011085,-0.004415,-0.004807,0.011085,-0.004415,0.061040,0.030520,0.000000
1.080290,-0.006573,0.007554,0.002747,-0.006573,0.007554,0.002747,0.061040,0.061040,0.000000
1.090360,-0.004218,0.005690,0.008142,-0.004218,0.005690,0.008142,0.061040,0.091550,0.000000
1.100420,-0.004218,0.009908,0.003924,-0.004218,0.009908,0.003924,0.061040,0.061040,0.000000
1.110480,0.001177,0.011674,-0.002060,0.001177,0.011674,-0.002060,0.061040,0.061040,-0.030520
