time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.007170,0.006573,-0.011380,-0.018639,0.006573,-0.011380,-0.018639,0.000000,0.091550,0.061040
0.017140,0.006573,-0.007750,-0.014519,0.006573,-0.007750,-0.014519,0.000000,0.091550,0.061040
0.027310,0.002943,0.000000,-0.006082,0.002943,0.000000,-0.006082,0.000000,0.061040,0.030520
0.037270,-0.001864,-0.003630,-0.007946,-0.001864,-0.003630,-0.007946,0.030520,0.061040,0.000000
0.047520,-0.008437,-0.002354,-0.007259,-0.008437,-0.002354,-0.007259,0.030520,0.061040,0.000000
0.057460,0.001177,-0.001766,-0.020503,0.001177,-0.001766,-0.020503,0.030520,0.000000,0.030520
0.067690,-0.003041,0.001766,-0.021680,-0.003041,0.001766,-0.021680,0.061040,0.030520,0.030520
0.077760,-0.004218,-0.003041,-0.011478,-0.004218,-0.003041,-0.011478,0.030520,0.030520,0.030520
0.087860,-0.005396,-0.006573,-0.007946,-0.005396,-0.006573,-0.007946,0.030520,0.030520,0.030520
0.097950,-0.007259,-0.003630,-0.013244,-0.007259,-0.003630,-0.013244,0.000000,0.091550,0.030520
0.106940,-0.005984,-0.005396,-0.019914,-0.005984,-0.005396,-0.019914,-0.030520,0.061040,0.061040
0.117120,-0.009614,-0.003630,-0.009712,-0.009614,-0.003630,-0.009712,-0.030520,0.061040,0.061040
0.127070,-0.015009,-0.010202,-0.006671,-0.015009,-0.010202,-0.006671,0.000000,0.000000,0.061040
0.137150,-0.017952,-0.015009,-0.008535,-0.017952,-0.015009,-0.008535,0.000000,0.000000,0.061040
0.147240,-0.018639,-0.009025,-0.018050,-0.018639,-0.009025,-0.018050,0.000000,0.030520,0.000000
0.157320,-0.010202,-0.012557,-0.018639,-0.010202,-0.012557,-0.018639,-0.030520,0.000000,0.000000
0.167410,-0.010202,-0.015009,-0.016873,-0.010202,-0.015009,-0.016873,0.030520,0.030520,0.030520
0.177690,-0.010791,-0.010791,-0.011478,-0.010791,-0.010791,-0.011478,0.061040,0.030520,0.030520
0.187680,-0.010791,-0.015009,-0.014519,-0.010791,-0.015009,-0.014519,0.061040,-0.030520,0.030520
0.197800,-0.007848,-0.009614,-0.018639,-0.007848,-0.009614,-0.018639,0.061040,0.000000,0.030520
0.208270,-0.011968,-0.008339,-0.016873,-0.011968,-0.008339,-0.016873,0.061040,-0.030520,0.030520
0.218430,-0.007848,-0.013734,-0.010889,-0.007848,-0.013734,-0.010889,0.091550,-0.030520,0.000000
0.228450,-0.005984,-0.016186,-0.001275,-0.005984,-0.016186,-0.001275,0.061040,-0.030520,0.000000
0.238530,-0.008437,-0.014323,-0.001275,-0.008437,-0.014323,-0.001275,0.061040,0.030520,0.000000
0.248630,-0.005396,-0.011380,0.003434,-0.005396,-0.011380,0.003434,0.061040,0.000000,0.000000
0.258720,-0.007259,-0.011380,-0.004316,-0.007259,-0.011380,-0.004316,0.061040,-0.030520,0.030520
0.268820,-0.009614,-0.012557,-0.001275,-0.009614,-0.012557,-0.001275,0.091550,0.000000,0.030520
0.278910,-0.007848,-0.009025,-0.009123,-0.007848,-0.009025,-0.009123,0.091550,0.000000,0.000000
0.288980,-0.004218,-0.007750,-0.011478,-0.004218,-0.007750,-0.011478,0.000000,-0.030520,-0.030520
0.299170,-0.006671,-0.007750,-0.015696,-0.006671,-0.007750,-0.015696,0.000000,-0.030520,0.000000
0.309810,-0.012655,-0.016775,-0.017462,-0.012655,-0.016775,-0.017462,0.030520,0.030520,0.061040
0.319870,-0.005396,-0.016186,-0.009123,-0.005396,-0.016186,-0.009123,0.030520,0.000000,0.061040
0.329970,-0.008437,-0.013734,-0.004316,-0.008437,-0.013734,-0.004316,0.030520,0.030520,0.000000
0.340070,-0.008437,-0.011380,-0.009712,-0.008437,-0.011380,-0.009712,0.000000,0.030520,0.061040
0.350170,-0.006671,-0.010202,-0.013930,-0.006671,-0.010202,-0.013930,0.030520,0.030520,0.000000
0.360280,-0.005396,-0.013145,-0.009123,-0.005396,-0.013145,-0.009123,0.030520,0.000000,0.000000
0.370360,-0.002453,-0.013734,-0.006082,-0.002453,-0.013734,-0.006082,0.030520,0.030520,0.030520
0.380450,-0.004218,-0.013734,-0.012655,-0.004218,-0.013734,-0.012655,0.030520,0.030520,0.000000
0.390580,-0.003041,-0.011968,-0.007946,-0.003041,-0.011968,-0.007946,0.061040,0.030520,0.000000
0.400730,-0.007848,-0.011968,-0.008535,-0.007848,-0.011968,-0.008535,0.030520,0.061040,0.030520
0.410140,-0.007848,-0.013145,-0.009712,-0.007848,-0.013145,-0.009712,0.030520,0.061040,0.030520
0.420230,-0.007848,-0.012557,-0.007259,-0.007848,-0.012557,-0.007259,0.030520,0.030520,0.000000
0.430320,-0.007259,-0.010202,-0.006082,-0.007259,-0.010202,-0.006082,0.030520,0.030520,0.030520
0.440410,-0.005396,-0.010202,-0.004316,-0.005396,-0.010202,-0.004316,0.030520,0.061040,0.030520
0.450500,-0.006671,-0.013145,-0.016873,-0.006671,-0.013145,-0.016873,0.091550,0.030520,0.000000
0.460590,-0.010202,-0.009025,-0.022857,-0.010202,-0.009025,-0.022857,0.061040,0.030520,0.000000
0.470690,-0.010791,-0.003630,-0.012655,-0.010791,-0.003630,-0.012655,0.061040,0.000000,0.000000
0.480790,-0.010202,-0.005396,-0.013244,-0.010202,-0.005396,-0.013244,0.061040,0.030520,0.000000
0.490870,-0.009025,-0.004218,-0.018639,-0.009025,-0.004218,-0.018639,0.030520,0.030520,0.000000
0.501040,-0.009614,-0.004218,-0.021680,-0.009614,-0.004218,-0.021680,0.030520,0.030520,-0.030520
0.511660,-0.013244,0.000000,-0.023446,-0.013244,0.000000,-0.023446,0.061040,0.030520,0.000000
0.521800,-0.011380,-0.004807,-0.012066,-0.011380,-0.004807,-0.012066,0.030520,0.030520,0.030520
0.531850,-0.010202,-0.005984,-0.010889,-0.010202,-0.005984,-0.010889,0.061040,0.030520,0.030520
0.541950,-0.006671,-0.011380,-0.016873,-0.006671,-0.011380,-0.016873,0.061040,0.061040,0.000000
0.552080,-0.007259,-0.013734,-0.016285,-0.007259,-0.013734,-0.016285,0.061040,0.030520,0.000000
0.562170,0.001766,-0.009025,-0.016285,0.001766,-0.009025,-0.016285,0.061040,0.030520,0.030520
0.572260,-0.001864,-0.007750,-0.004316,-0.001864,-0.007750,-0.004316,0.030520,0.000000,0.030520
0.582360,-0.008437,-0.008339,-0.010301,-0.008437,-0.008339,-0.010301,0.061040,0.000000,0.000000
0.592450,-0.005396,-0.009025,-0.010301,-0.005396,-0.009025,-0.010301,0.030520,-0.030520,0.030520
0.602700,-0.005396,-0.010791,-0.007946,-0.005396,-0.010791,-0.007946,0.061040,0.030520,0.030520
0.612060,-0.015009,-0.007750,-0.009712,-0.015009,-0.007750,-0.009712,0.030520,0.000000,0.030520
0.622430,-0.015009,-0.007750,-0.012655,-0.015009,-0.007750,-0.012655,0.000000,0.000000,0.000000
0.632490,-0.013244,-0.004218,-0.018050,-0.013244,-0.004218,-0.018050,0.030520,0.030520,0.061040
0.642650,-0.007259,-0.010791,-0.021680,-0.007259,-0.010791,-0.021680,0.030520,0.000000,0.061040
0.652820,-0.009614,-0.007750,-0.018639,-0.009614,-0.007750,-0.018639,0.061040,0.030520,0.030520
0.662970,-0.007848,-0.004807,-0.012066,-0.007848,-0.004807,-0.012066,0.030520,0.030520,0.030520
0.673140,-0.010202,0.003041,-0.009712,-0.010202,0.003041,-0.009712,0.030520,0.030520,0.030520
0.683290,-0.013244,-0.001766,-0.010301,-0.013244,-0.001766,-0.010301,0.030520,0.030520,0.030520
0.693240,-0.014421,-0.001766,-0.007259,-0.014421,-0.001766,-0.007259,0.000000,0.000000,0.030520
0.703410,-0.013832,-0.001177,-0.009712,-0.013832,-0.001177,-0.009712,0.061040,0.000000,0.030520
0.712390,-0.007259,-0.006573,-0.014519,-0.007259,-0.006573,-0.014519,0.061040,0.000000,0.000000
0.722460,-0.000589,-0.005984,-0.016873,-0.000589,-0.005984,-0.016873,0.091550,0.061040,0.061040
0.732540,-0.003041,-0.010202,-0.012655,-0.003041,-0.010202,-0.012655,0.030520,0.061040,0.030520
0.742670,-0.004218,-0.011968,-0.013244,-0.004218,-0.011968,-0.013244,0.030520,0.061040,0.030520
0.752710,-0.003630,-0.007750,-0.015107,-0.003630,-0.007750,-0.015107,0.030520,0.030520,0.061040
0.762790,-0.004807,-0.007161,-0.008535,-0.004807,-0.007161,-0.008535,0.030520,0.030520,0.061040
0.772920,-0.000000,-0.004807,-0.005494,-0.000000,-0.004807,-0.005494,0.000000,0.030520,0.061040
0.782950,0.004120,-0.008339,-0.004905,0.004120,-0.008339,-0.004905,0.000000,0.000000,0.030520
0.793030,0.001766,-0.010791,-0.007946,0.001766,-0.010791,-0.007946,0.000000,0.000000,0.030520
0.803190,-0.000589,-0.012557,-0.019326,-0.000589,-0.012557,-0.019326,0.000000,0.030520,0.030520
0.814680,0.007161,-0.006573,-0.013930,0.007161,-0.006573,-0.013930,0.030520,0.030520,0.030520
0.824770,-0.002453,-0.009614,-0.004905,-0.002453,-0.009614,-0.004905,0.000000,0.030520,0.030520
0.834860,-0.003041,-0.016186,-0.009712,-0.003041,-0.016186,-0.009712,0.030520,0.030520,0.030520
0.844960,0.004709,-0.007750,-0.011478,0.004709,-0.007750,-0.011478,0.030520,0.000000,0.030520
0.855070,0.005984,-0.006573,-0.016873,0.005984,-0.006573,-0.016873,0.030520,0.000000,0.000000
0.865160,0.007750,-0.006573,-0.016285,0.007750,-0.006573,-0.016285,0.030520,0.000000,0.030520
0.875310,-0.001275,-0.004218,-0.017462,-0.001275,-0.004218,-0.017462,0.030520,0.000000,0.030520
0.885360,-0.001864,-0.004218,-0.018050,-0.001864,-0.004218,-0.018050,0.030520,0.000000,0.030520
0.895460,-0.001864,-0.004807,-0.016285,-0.001864,-0.004807,-0.016285,0.030520,-0.030520,0.061040
0.905650,-0.001864,-0.005396,-0.018639,-0.001864,-0.005396,-0.018639,0.030520,-0.030520,0.061040
0.915060,0.000589,0.000000,-0.007259,0.000589,0.000000,-0.007259,0.030520,-0.030520,0.000000
0.925140,0.002354,0.000000,-0.005494,0.002354,0.000000,-0.005494,0.061040,-0.030520,-0.030520
0.935230,0.001177,0.001766,-0.000687,0.001177,0.001766,-0.000687,0.061040,0.000000,0.000000
0.945320,-0.000589,-0.004807,-0.000098,-0.000589,-0.004807,-0.000098,0.030520,0.030520,0.000000
0.955410,0.004120,-0.003630,-0.000687,0.004120,-0.003630,-0.000687,0.030520,0.030520,0.030520
0.965540,0.007161,0.000000,-0.001962,0.007161,0.000000,-0.001962,0.000000,0.000000,0.000000
0.975590,0.002354,-0.003630,0.004709,0.002354,-0.003630,0.004709,0.030520,0.000000,0.030520
0.985680,-0.001275,-0.004807,-0.001962,-0.001275,-0.004807,-0.001962,0.030520,-0.030520,0.061040
0.995770,0.000589,-0.003630,-0.003728,0.000589,-0.003630,-0.003728,0.061040,-0.061040,0.061040
1.005940,0.001766,0.001766,-0.011478,0.001766,0.001766,-0.011478,0.030520,-0.030520,0.061040
1.016560,0.001766,0.000589,-0.007259,0.001766,0.000589,-0.007259,0.030520,0.000000,0.061040
1.026660,0.003532,0.000000,-0.005494,0.003532,0.000000,-0.005494,0.030520,0.030520,0.091550
1.036750,0.000589,0.000000,-0.009123,0.000589,0.000000,-0.009123,0.061040,0.030520,0.091550
1.047130,0.004120,0.002354,-0.009123,0.004120,0.002354,-0.009123,0.061040,0.030520,0.091550
1.057040,0.001177,0.000000,-0.004905,0.001177,0.000000,-0.004905,0.030520,0.000000,0.030520
1.067060,-0.000589,-0.003630,-0.004905,-0.000589,-0.003630,-0.004905,0.061040,0.000000,0.000000
1.077210,0.004709,-0.001766,-0.006082,0.004709,-0.001766,-0.006082,0.061040,0.000000,0.030520
1.087260,0.007750,0.005984,-0.012066,0.007750,0.005984,-0.012066,0.061040,0.000000,0.000000
1.097350,0.001766,0.002354,-0.015107,0.001766,0.002354,-0.015107,0.061040,0.030520,0.000000
1.107490,-0.006671,0.003630,-0.009123,-0.006671,0.003630,-0.009123,0.061040,0.000000,0.000000
1.116940,-0.002453,-0.001177,-0.003728,-0.002453,-0.001177,-0.003728,0.061040,0.000000,-0.030520
1.127470,0.004120,0.002354,-0.005494,0.004120,0.002354,-0.005494,0.061040,0.030520,-0.030520
1.137530,0.004709,0.003041,-0.004905,0.004709,0.003041,-0.004905,0.030520,0.000000,-0.030520
1.147560,0.006573,0.001177,-0.003728,0.006573,0.001177,-0.003728,0.030520,-0.030520,0.000000
1.157820,0.001766,0.000000,-0.005494,0.001766,0.000000,-0.005494,0.030520,0.000000,-0.030520
1.167700,-0.005396,0.002354,-0.004905,-0.005396,0.002354,-0.004905,0.030520,0.000000,-0.030520
