time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.006920,-0.001864,0.001373,0.010693,-0.001864,0.001373,0.010693,0.061040,0.000000,0.061040
0.016560,-0.011478,-0.001668,0.011870,-0.011478,-0.001668,0.011870,0.030520,-0.030520,0.030520
0.026880,-0.010791,-0.005199,0.006475,-0.010791,-0.005199,0.006475,0.061040,-0.030520,0.030520
0.036730,-0.009025,-0.008240,0.001079,-0.009025,-0.008240,0.001079,0.061040,-0.030520,0.030520
0.046680,-0.005494,0.005003,0.005886,-0.005494,0.005003,0.005886,0.030520,-0.030520,0.030520
0.056420,0.000491,0.003728,0.002943,0.000491,0.003728,0.002943,0.000000,-0.030520,0.030520
0.066810,-0.000098,0.002551,0.005297,-0.000098,0.002551,0.005297,0.030520,-0.030520,0.061040
0.078050,-0.001864,0.000785,0.011870,-0.001864,0.000785,0.011870,0.030520,-0.030520,0.061040
0.087270,-0.004807,-0.005788,0.004709,-0.004807,-0.005788,0.004709,-0.030520,0.000000,0.030520
0.096910,-0.002453,-0.002256,0.005297,-0.002453,-0.002256,0.005297,-0.030520,0.000000,0.030520
0.107140,-0.001864,-0.002256,0.002354,-0.001864,-0.002256,0.002354,0.000000,0.000000,0.030520
0.117100,0.001766,-0.000981,0.002943,0.001766,-0.000981,0.002943,-0.030520,-0.061040,0.061040
0.127100,0.001177,-0.004611,0.010104,0.001177,-0.004611,0.010104,0.000000,-0.030520,0.030520
0.137200,0.001766,-0.011183,0.011281,0.001766,-0.011183,0.011281,0.061040,-0.030520,0.091550
0.147320,0.004120,-0.013636,0.010104,0.004120,-0.013636,0.010104,0.061040,0.000000,0.091550
0.157410,0.004120,-0.011772,0.007750,0.004120,-0.011772,0.007750,0.000000,0.030520,0.091550
0.167500,-0.001864,-0.013636,0.008927,-0.001864,-0.013636,0.008927,0.000000,0.030520,0.091550
0.177580,-0.006671,-0.008829,0.012459,-0.006671,-0.008829,0.012459,0.000000,0.030520,0.061040
0.187710,-0.008437,-0.011772,0.002354,-0.008437,-0.011772,0.002354,-0.030520,0.030520,0.030520
0.197770,-0.008437,-0.009418,0.006475,-0.008437,-0.009418,0.006475,0.000000,0.030520,0.061040
0.207900,-0.011478,-0.010006,0.008339,-0.011478,-0.010006,0.008339,0.000000,0.030520,0.061040
0.217950,-0.015009,-0.006377,0.011281,-0.015009,-0.006377,0.011281,0.000000,0.030520,0.061040
0.228060,-0.023446,-0.008240,0.012459,-0.023446,-0.008240,0.012459,-0.030520,0.000000,0.061040
0.238140,-0.024623,-0.008829,0.008927,-0.024623,-0.008829,0.008927,-0.030520,0.000000,0.061040
0.248270,-0.024623,-0.008829,0.006475,-0.024623,-0.008829,0.006475,-0.030520,0.000000,0.061040
0.258350,-0.009614,-0.014224,0.007750,-0.009614,-0.014224,0.007750,-0.030520,0.030520,0.030520
0.268440,-0.010202,-0.013047,0.013145,-0.010202,-0.013047,0.013145,-0.061040,0.030520,0.061040
0.278530,-0.013244,-0.013047,0.004709,-0.013244,-0.013047,0.004709,0.000000,0.030520,0.061040
0.288630,-0.008437,-0.006965,-0.000687,-0.008437,-0.006965,-0.000687,-0.030520,0.000000,0.061040
0.298750,-0.001864,-0.010595,-0.005494,-0.001864,-0.010595,-0.005494,-0.030520,0.030520,0.030520
0.308810,-0.000098,-0.010006,-0.010202,-0.000098,-0.010006,-0.010202,0.000000,0.000000,0.061040
0.318940,-0.002453,-0.010006,-0.001275,-0.002453,-0.010006,-0.001275,0.000000,-0.030520,0.061040
0.328970,-0.012655,-0.006965,-0.001864,-0.012655,-0.006965,-0.001864,0.000000,-0.030520,0.061040
0.339070,-0.013244,-0.005788,-0.000687,-0.013244,-0.005788,-0.000687,0.000000,-0.030520,0.091550
0.349220,-0.013244,-0.008240,-0.003630,-0.013244,-0.008240,-0.003630,0.000000,-0.030520,0.091550
0.359490,-0.018639,-0.010006,-0.007259,-0.018639,-0.010006,-0.007259,0.030520,-0.030520,0.061040
0.369510,-0.020993,-0.009418,-0.000687,-0.020993,-0.009418,-0.000687,0.030520,-0.030520,0.030520
0.379510,-0.018050,-0.008829,-0.000098,-0.018050,-0.008829,-0.000098,0.030520,-0.030520,0.061040
0.389590,-0.012655,-0.005199,-0.004218,-0.012655,-0.005199,-0.004218,0.030520,-0.030520,0.061040
0.399720,-0.001275,-0.005788,-0.007259,-0.001275,-0.005788,-0.007259,0.061040,-0.030520,0.030520
0.409790,0.000491,-0.010595,-0.007259,0.000491,-0.010595,-0.007259,0.030520,-0.030520,0.030520
0.419890,0.004120,-0.011183,-0.000098,0.004120,-0.011183,-0.000098,0.030520,-0.030520,0.061040
0.429950,0.005886,-0.006965,0.008339,0.005886,-0.006965,0.008339,0.000000,0.000000,0.091550
0.440040,0.000491,-0.003434,0.004120,0.000491,-0.003434,0.004120,0.000000,0.030520,0.030520
0.450180,0.003532,-0.004022,0.001766,0.003532,-0.004022,0.001766,0.030520,0.000000,0.030520
0.460260,0.002354,-0.005199,0.003532,0.002354,-0.005199,0.003532,0.030520,-0.030520,0.000000
0.470350,-0.013244,-0.008240,0.000491,-0.013244,-0.008240,0.000491,0.061040,-0.030520,0.000000
0.480440,-0.013832,-0.010006,-0.003630,-0.013832,-0.010006,-0.003630,0.030520,-0.030520,0.000000
0.490810,-0.018639,-0.003434,-0.006671,-0.018639,-0.003434,-0.006671,0.000000,-0.030520,0.030520
0.502680,-0.018639,-0.000981,-0.010889,-0.018639,-0.000981,-0.010889,0.030520,-0.030520,0.030520
0.510810,-0.015598,0.000196,-0.006671,-0.015598,0.000196,-0.006671,0.000000,0.000000,0.061040
0.520880,-0.012655,-0.004022,-0.001275,-0.012655,-0.004022,-0.001275,-0.030520,0.000000,0.061040
0.530910,-0.005494,-0.000981,-0.003041,-0.005494,-0.000981,-0.003041,0.000000,-0.030520,0.000000
0.541060,-0.000687,-0.008240,-0.006671,-0.000687,-0.008240,-0.006671,0.000000,-0.030520,0.030520
0.551140,0.001177,-0.012361,-0.007259,0.001177,-0.012361,-0.007259,0.030520,-0.030520,0.030520
0.561220,0.008927,-0.010595,0.002354,0.008927,-0.010595,0.002354,0.000000,0.000000,0.030520
0.571310,0.004709,-0.010006,0.003532,0.004709,-0.010006,0.003532,-0.030520,0.030520,0.061040
0.581440,0.006573,-0.015402,-0.005494,0.006573,-0.015402,-0.005494,0.030520,0.030520,0.061040
0.591840,0.004120,-0.015990,-0.004218,0.004120,-0.015990,-0.004218,0.061040,0.030520,0.030520
0.602020,0.002943,-0.016579,-0.005494,0.002943,-0.016579,-0.005494,0.030520,0.030520,0.061040
0.612110,-0.005494,-0.013047,-0.004905,-0.005494,-0.013047,-0.004905,0.000000,0.000000,0.061040
0.622170,-0.013244,-0.011772,-0.001275,-0.013244,-0.011772,-0.001275,0.000000,0.000000,0.061040
0.632340,-0.023446,-0.015402,-0.000687,-0.023446,-0.015402,-0.000687,-0.030520,0.000000,0.030520
0.642370,-0.027566,-0.016579,0.000491,-0.027566,-0.016579,0.000491,0.030520,0.030520,0.030520
0.651970,-0.029430,-0.019031,-0.001864,-0.029430,-0.019031,-0.001864,0.000000,0.030520,0.030520
0.661700,-0.026389,-0.018345,-0.000687,-0.026389,-0.018345,-0.000687,0.000000,0.030520,0.030520
0.671850,-0.028155,-0.006965,-0.000098,-0.028155,-0.006965,-0.000098,0.030520,0.030520,0.000000
0.681800,-0.030607,-0.005788,0.001079,-0.030607,-0.005788,0.001079,0.030520,0.030520,0.030520
0.691810,-0.028155,-0.006377,-0.006082,-0.028155,-0.006377,-0.006082,0.061040,0.000000,0.030520
