time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.006730,0.005886,0.005886,-0.004709,0.005886,0.005886,-0.004709,0.061040,0.000000,0.030520
0.016550,0.004709,0.007063,0.000098,0.004709,0.007063,0.000098,0.061040,0.000000,0.000000
0.026760,0.000491,0.001668,0.016285,0.000491,0.001668,0.016285,0.030520,-0.030520,0.030520
0.036720,0.004709,0.006475,0.009712,0.004709,0.006475,0.009712,0.030520,-0.030520,0.000000
0.046740,0.006475,0.007652,-0.010693,0.006475,0.007652,-0.010693,0.000000,-0.061040,0.000000
0.056460,0.002845,0.008240,-0.001079,0.002845,0.008240,-0.001079,0.000000,-0.061040,0.000000
0.066720,0.002845,0.007652,0.007946,0.002845,0.007652,0.007946,0.030520,-0.030520,0.000000
0.076670,0.001079,0.005297,0.001275,0.001079,0.005297,0.001275,0.030520,0.000000,0.000000
0.086850,-0.001864,0.003532,-0.010693,-0.001864,0.003532,-0.010693,0.061040,-0.030520,0.030520
0.096840,0.001079,0.005886,-0.004120,0.001079,0.005886,-0.004120,0.061040,-0.030520,0.000000
0.107020,0.001668,0.004709,0.005494,0.001668,0.004709,0.005494,0.061040,-0.030520,0.000000
0.117210,0.005297,0.005886,-0.002845,0.005297,0.005886,-0.002845,0.061040,-0.030520,0.000000
0.127150,0.005297,0.004709,-0.007063,0.005297,0.004709,-0.007063,0.030520,-0.030520,0.030520
0.137240,0.010104,0.005886,-0.004709,0.010104,0.005886,-0.004709,0.030520,0.000000,0.030520
0.147370,0.013047,0.007652,-0.000491,0.013047,0.007652,-0.000491,0.061040,0.000000,0.030520
0.157470,0.008240,0.004709,0.000687,0.008240,0.004709,0.000687,0.091550,0.030520,0.000000
0.167540,0.005886,-0.003728,0.001962,0.005886,-0.003728,0.001962,0.091550,0.000000,0.000000
0.177670,0.002845,0.002845,0.006671,0.002845,0.002845,0.006671,0.061040,-0.030520,0.000000
0.187720,0.008240,0.002845,0.004905,0.008240,0.002845,0.004905,0.000000,-0.030520,0.000000
0.197820,-0.001275,0.002256,0.000687,-0.001275,0.002256,0.000687,0.000000,-0.030520,0.000000
0.207910,0.001079,-0.000098,-0.001668,0.001079,-0.000098,-0.001668,0.030520,-0.030520,0.061040
0.218000,0.002256,0.001668,0.004316,0.002256,0.001668,0.004316,0.030520,-0.030520,0.030520
0.228090,0.004120,0.005297,0.003139,0.004120,0.005297,0.003139,0.030520,-0.061040,0.030520
0.238180,0.002845,-0.001864,-0.006475,0.002845,-0.001864,-0.006475,0.061040,-0.030520,0.000000
0.249110,0.006475,-0.006082,-0.012459,0.006475,-0.006082,-0.012459,0.030520,-0.030520,0.030520
0.259000,0.008829,-0.004905,0.000098,0.008829,-0.004905,0.000098,0.061040,0.000000,0.030520
0.269080,0.007063,0.001079,0.001962,0.007063,0.001079,0.001962,0.030520,-0.030520,0.030520
0.279180,0.011870,-0.002453,-0.001668,0.011870,-0.002453,-0.001668,0.061040,-0.030520,0.030520
0.289330,0.007063,-0.001275,0.001275,0.007063,-0.001275,0.001275,0.061040,-0.061040,0.030520
