time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.006680,0.013832,-0.000687,-0.002943,0.013832,-0.000687,-0.002943,0.030520,-0.030520,-0.305180
0.016800,0.011478,-0.001864,-0.007750,0.011478,-0.001864,-0.007750,0.061040,-0.030520,-0.305180
0.026730,0.000098,-0.007259,-0.001079,0.000098,-0.007259,-0.001079,0.030520,-0.061040,-0.274660
0.036910,-0.008240,-0.007259,-0.005886,-0.008240,-0.007259,-0.005886,-0.030520,-0.061040,-0.274660
0.046700,-0.009516,-0.007848,-0.005886,-0.009516,-0.007848,-0.005886,0.000000,-0.061040,-0.213620
0.055880,-0.002256,-0.006082,-0.010693,-0.002256,-0.006082,-0.010693,0.030520,-0.030520,-0.213620
0.065960,0.000098,-0.008437,-0.006475,0.000098,-0.008437,-0.006475,0.000000,-0.030520,-0.244140
0.076170,0.003139,-0.002453,0.005494,0.003139,-0.002453,0.005494,0.000000,-0.030520,-0.274660
0.086320,0.001864,-0.007259,0.000687,0.001864,-0.007259,0.000687,0.030520,-0.030520,-0.244140
0.096270,0.002551,0.004709,-0.007750,0.002551,0.004709,-0.007750,0.000000,-0.030520,-0.244140
0.106540,-0.004120,0.005886,-0.002354,-0.004120,0.005886,-0.002354,0.000000,0.000000,-0.244140
0.116530,-0.004709,0.001079,0.004218,-0.004709,0.001079,0.004218,0.030520,-0.030520,-0.213620
0.126570,-0.004120,-0.001275,0.004905,-0.004120,-0.001275,0.004905,0.000000,0.000000,-0.244140
0.136650,-0.007652,0.001766,0.004905,-0.007652,0.001766,0.004905,0.000000,-0.030520,-0.244140
0.147210,-0.006475,-0.002453,0.007259,-0.006475,-0.002453,0.007259,0.030520,-0.030520,-0.213620
0.157520,-0.004120,-0.007848,0.007848,-0.004120,-0.007848,0.007848,0.000000,-0.030520,-0.274660
0.167510,0.003728,-0.008437,-0.007161,0.003728,-0.008437,-0.007161,0.030520,0.000000,-0.274660
0.177600,-0.002256,-0.003630,-0.004709,-0.002256,-0.003630,-0.004709,0.061040,0.000000,-0.274660
0.187690,-0.005886,-0.005494,-0.006475,-0.005886,-0.005494,-0.006475,0.061040,0.030520,-0.305180
0.197780,-0.006475,-0.004316,-0.004709,-0.006475,-0.004316,-0.004709,0.061040,0.000000,-0.305180
0.207870,-0.007652,-0.000687,-0.009516,-0.007652,-0.000687,-0.009516,0.091550,0.000000,-0.274660
0.217980,-0.002845,-0.004905,-0.017854,-0.002845,-0.004905,-0.017854,0.061040,0.000000,-0.305180
0.228510,-0.005297,-0.006082,-0.008339,-0.005297,-0.006082,-0.008339,0.030520,0.000000,-0.335690
0.238340,0.004316,-0.004316,-0.003532,0.004316,-0.004316,-0.003532,0.030520,-0.030520,-0.305180
