time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.006680,0.006180,-0.004513,-0.007259,0.006180,-0.004513,-0.007259,0.000000,0.000000,-0.030520
0.016770,0.002060,0.002649,-0.006671,0.002060,0.002649,-0.006671,0.000000,-0.030520,0.000000
0.026870,0.000196,0.006180,-0.003728,0.000196,0.006180,-0.003728,-0.030520,0.000000,0.000000
0.036790,0.003826,0.008633,-0.006671,0.003826,0.008633,-0.006671,-0.030520,0.030520,0.030520
0.046740,0.004415,0.012851,-0.000687,0.004415,0.012851,-0.000687,0.000000,0.030520,0.030520
0.056480,0.002649,0.012164,0.000491,0.002649,0.012164,0.000491,0.030520,0.061040,0.030520
0.066750,0.003237,0.012164,-0.005494,0.003237,0.012164,-0.005494,-0.030520,0.030520,0.061040
0.076690,0.002060,0.005592,-0.007259,0.002060,0.005592,-0.007259,-0.030520,0.000000,0.030520
0.086950,-0.002158,0.000785,-0.006082,-0.002158,0.000785,-0.006082,0.000000,0.000000,0.061040
0.096880,-0.001570,-0.001570,-0.000098,-0.001570,-0.001570,-0.000098,0.030520,-0.030520,0.030520
0.107010,-0.000392,0.000785,0.005297,-0.000392,0.000785,0.005297,0.091550,-0.030520,0.061040
0.117120,0.000196,0.002060,-0.001962,0.000196,0.002060,-0.001962,0.061040,-0.030520,0.061040
0.127170,-0.000392,0.003826,-0.000098,-0.000392,0.003826,-0.000098,0.061040,-0.030520,0.061040
0.137540,0.003826,0.008633,0.004709,0.003826,0.008633,0.004709,0.030520,0.030520,0.061040
0.147430,-0.000392,0.007456,0.009418,-0.000392,0.007456,0.009418,0.030520,0.030520,0.061040
0.157500,-0.005199,0.008633,0.008240,-0.005199,0.008633,0.008240,0.030520,0.030520,0.061040
0.167590,-0.000981,0.005003,0.008240,-0.000981,0.005003,0.008240,0.030520,0.030520,0.061040
0.177680,0.000785,0.003826,-0.000098,0.000785,0.003826,-0.000098,0.000000,0.000000,0.061040
0.187770,0.000785,-0.003335,0.003434,0.000785,-0.003335,0.003434,-0.030520,0.000000,0.030520
0.197880,-0.007554,-0.004513,0.005886,-0.007554,-0.004513,0.005886,-0.030520,0.000000,0.061040
0.207950,-0.003335,0.000785,0.002845,-0.003335,0.000785,0.002845,0.000000,0.000000,0.061040
