time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.000713,-0.058678,0.644260,10.043514,0.007790,-0.003412,0.005675,0.000000,0.000000,0.000000
0.010783,-0.056283,0.641865,10.048903,0.010185,-0.005807,0.011064,0.030518,0.000000,0.000000
0.020853,-0.061073,0.642464,10.048304,0.005395,-0.005208,0.010465,-0.030518,-0.030518,0.000000
0.030919,-0.062869,0.643063,10.045311,0.003599,-0.004609,0.007471,-0.030518,-0.030518,0.000000
0.040984,-0.069456,0.640069,10.041119,-0.002988,-0.007603,0.003280,-0.030518,-0.030518,0.030518
0.051051,-0.065264,0.637075,10.037527,0.001203,-0.010597,-0.000313,0.000000,-0.061035,0.061035
0.061121,-0.070054,0.640668,10.035132,-0.003587,-0.007004,-0.002708,0.000000,0.000000,0.061035
0.071187,-0.070054,0.646655,10.041718,-0.003587,-0.001017,0.003879,0.000000,0.000000,0.061035
0.081272,-0.071851,0.649050,10.038724,-0.005383,0.001378,0.000885,-0.030518,0.000000,0.030518
0.091365,-0.076641,0.645458,10.030941,-0.010173,-0.002214,-0.006899,-0.030518,0.030518,0.061035
0.101432,-0.071252,0.641865,10.027947,-0.004784,-0.005807,-0.009893,-0.030518,0.000000,0.091553
0.111499,-0.067659,0.648452,10.040521,-0.001192,0.000780,0.002681,0.000000,0.000000,0.061035
0.121566,-0.067061,0.648452,10.039323,-0.000593,0.000780,0.001484,-0.030518,0.000000,0.091553
0.131634,-0.069456,0.647853,10.036329,-0.002988,0.000181,-0.001510,0.000000,0.061035,0.091553
0.141700,-0.071252,0.645458,10.029144,-0.004784,-0.002214,-0.008695,0.000000,0.061035,0.061035
0.151767,-0.064666,0.646655,10.031539,0.001802,-0.001017,-0.006300,0.000000,0.061035,0.061035
0.161844,-0.066462,0.647254,10.038724,0.000006,-0.000418,0.000885,0.030518,0.030518,0.030518
0.171909,-0.068258,0.645458,10.045909,-0.001790,-0.002214,0.008070,-0.030518,0.000000,0.030518
0.181984,-0.069456,0.649050,10.041718,-0.002988,0.001378,0.003879,-0.061035,0.030518,0.000000
0.192051,-0.065264,0.648452,10.039922,0.001203,0.000780,0.002082,-0.030518,0.030518,0.000000
0.202117,-0.066462,0.650248,10.034533,0.000006,0.002576,-0.003306,0.000000,0.030518,0.030518
0.212191,-0.069456,0.647853,10.032138,-0.002988,0.000181,-0.005701,0.000000,0.030518,0.000000
0.222258,-0.070653,0.645458,10.041718,-0.004185,-0.002214,0.003879,-0.030518,0.030518,0.091553
