time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.007720,-0.010301,-0.005494,0.001766,-0.010301,-0.005494,0.001766,0.030520,0.030520,0.061040
0.018470,-0.012066,-0.004316,-0.002354,-0.012066,-0.004316,-0.002354,0.030520,0.030520,0.000000
0.028600,-0.012066,-0.006671,-0.005984,-0.012066,-0.006671,-0.005984,0.030520,0.030520,0.030520
0.038480,-0.012066,-0.015107,-0.004218,-0.012066,-0.015107,-0.004218,0.030520,0.030520,0.000000
0.048650,-0.014519,-0.008535,0.001177,-0.014519,-0.008535,0.001177,0.061040,0.030520,0.000000
0.058650,-0.015696,-0.011478,0.004218,-0.015696,-0.011478,0.004218,0.061040,0.030520,0.000000
0.069010,-0.015107,-0.005494,0.000000,-0.015107,-0.005494,0.000000,0.061040,0.030520,0.000000
0.078980,-0.016873,-0.007946,-0.003630,-0.016873,-0.007946,-0.003630,0.061040,0.030520,0.000000
0.089070,-0.012655,-0.009712,0.007750,-0.012655,-0.009712,0.007750,0.000000,0.030520,0.000000
0.098740,-0.012066,-0.009123,0.012557,-0.012066,-0.009123,0.012557,0.030520,0.030520,0.000000
0.108260,-0.013244,-0.001864,0.005984,-0.013244,-0.001864,0.005984,-0.030520,-0.030520,0.000000
0.118510,-0.017462,-0.002551,0.001766,-0.017462,-0.002551,0.001766,0.000000,-0.030520,-0.030520
0.128410,-0.010889,0.002845,0.004218,-0.010889,0.002845,0.004218,-0.030520,0.000000,0.000000
0.138510,-0.006671,0.008240,0.002354,-0.006671,0.008240,0.002354,-0.030520,0.000000,0.000000
0.148600,-0.000098,0.007063,0.007161,-0.000098,0.007063,0.007161,0.000000,0.000000,0.000000
0.158680,-0.003728,0.003434,0.010202,-0.003728,0.003434,0.010202,0.030520,0.030520,0.000000
0.168760,-0.007259,-0.001275,0.009614,-0.007259,-0.001275,0.009614,0.030520,0.030520,0.000000
0.178840,-0.001962,-0.006082,0.013145,-0.001962,-0.006082,0.013145,0.030520,0.000000,0.000000
0.188950,-0.002551,-0.006082,0.013145,-0.002551,-0.006082,0.013145,0.030520,-0.030520,0.000000
0.199330,0.002256,0.002256,0.008339,0.002256,0.002256,0.008339,0.000000,0.000000,0.000000
0.209700,0.005297,0.001079,0.007161,0.005297,0.001079,0.007161,0.000000,-0.030520,0.000000
0.219900,0.008240,0.001079,0.003041,0.008240,0.001079,0.003041,0.030520,-0.030520,0.030520
0.229880,-0.001275,-0.003139,-0.004807,-0.001275,-0.003139,-0.004807,0.030520,-0.030520,0.030520
0.240000,-0.001962,-0.009123,-0.001766,-0.001962,-0.009123,-0.001766,0.030520,-0.030520,0.030520
0.250050,-0.003139,-0.012066,0.004807,-0.003139,-0.012066,0.004807,0.030520,0.061040,0.000000
0.260130,-0.003139,-0.008535,0.003630,-0.003139,-0.008535,0.003630,0.030520,0.061040,0.000000
0.270250,-0.000687,-0.009123,0.000000,-0.000687,-0.009123,0.000000,0.030520,0.061040,0.061040
0.280320,-0.008535,-0.004316,0.001177,-0.008535,-0.004316,0.001177,0.030520,0.030520,0.061040
0.290400,-0.017462,-0.004316,0.005984,-0.017462,-0.004316,0.005984,0.030520,0.000000,0.030520
