time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.000551,-0.040715,0.611329,10.037527,0.008941,-0.003188,-0.002391,-0.030518,0.000000,0.000000
0.010623,-0.042512,0.607137,10.033934,0.007144,-0.007379,-0.005984,-0.030518,0.030518,0.030518
0.020690,-0.044907,0.605940,10.030342,0.004749,-0.008577,-0.009576,-0.030518,0.030518,0.000000
0.030767,-0.049697,0.604742,10.031539,-0.000041,-0.009774,-0.008379,-0.030518,0.030518,-0.030518
0.040836,-0.052690,0.608934,10.029144,-0.003034,-0.005583,-0.010774,0.000000,0.061035,-0.030518
0.050902,-0.044308,0.608335,10.042317,0.005348,-0.006182,0.002399,0.000000,0.061035,0.000000
0.060969,-0.042512,0.610131,10.039323,0.007144,-0.004385,-0.000595,0.030518,0.061035,0.000000
0.071039,-0.046104,0.613125,10.035132,0.003552,-0.001392,-0.004786,-0.030518,0.061035,0.061035
0.081134,-0.047302,0.609532,10.036329,0.002354,-0.004984,-0.003589,0.000000,0.061035,0.030518
0.091237,-0.046104,0.616119,10.028546,0.003552,0.001602,-0.011373,-0.030518,0.030518,0.000000
0.101308,-0.041913,0.619113,10.042916,0.007743,0.004596,0.002997,-0.030518,0.030518,0.030518
0.111376,-0.044907,0.620310,10.045311,0.004749,0.005794,0.005392,0.000000,0.091553,0.030518
0.121444,-0.044308,0.617316,10.037527,0.005348,0.002800,-0.002391,-0.030518,0.091553,0.061035
0.131510,-0.048499,0.613724,10.037527,0.001157,-0.000793,-0.002391,-0.030518,0.091553,0.061035
0.141578,-0.052092,0.607736,10.046508,-0.002436,-0.006780,0.006590,0.000000,0.061035,0.030518
0.151649,-0.049697,0.607736,10.048304,-0.000041,-0.006780,0.008386,0.000000,0.061035,0.030518
0.161716,-0.049697,0.609532,10.050699,-0.000041,-0.004984,0.010781,-0.030518,0.061035,0.030518
0.171787,-0.047302,0.606539,10.040521,0.002354,-0.007978,0.000602,-0.030518,0.061035,0.030518
0.181854,-0.051493,0.608335,10.036928,-0.001837,-0.006182,-0.002990,-0.030518,0.061035,0.030518
0.191919,-0.055684,0.611329,10.041718,-0.006028,-0.003188,0.001800,-0.030518,0.061035,0.030518
0.201986,-0.055684,0.616119,10.044113,-0.006028,0.001602,0.004195,-0.030518,0.030518,0.030518
0.212054,-0.049697,0.612526,10.036329,-0.000041,-0.001990,-0.003589,-0.061035,0.061035,0.030518
0.222121,-0.049098,0.613125,10.041718,0.000558,-0.001392,0.001800,-0.030518,0.061035,0.061035
0.232187,-0.047302,0.614921,10.039922,0.002354,0.000405,0.000004,-0.030518,0.061035,0.061035
0.242253,-0.049697,0.615520,10.042916,-0.000041,0.001004,0.002997,0.000000,0.061035,0.061035
0.252319,-0.044308,0.620310,10.040521,0.005348,0.005794,0.000602,0.000000,0.061035,0.000000
0.262386,-0.046104,0.619113,10.037527,0.003552,0.004596,-0.002391,0.000000,0.061035,0.000000
0.272451,-0.037123,0.620310,10.032138,0.012533,0.005794,-0.007780,-0.030518,0.091553,0.000000
0.282520,-0.040117,0.617316,10.036329,0.009539,0.002800,-0.003589,0.000000,0.061035,0.030518
0.292585,-0.040117,0.617915,10.038126,0.009539,0.003399,-0.001793,0.000000,0.091553,0.030518
0.302652,-0.038320,0.619113,10.041119,0.011336,0.004596,0.001201,0.030518,0.091553,0.030518
0.312719,-0.040117,0.620909,10.042916,0.009539,0.006392,0.002997,-0.030518,0.061035,0.061035
0.322822,-0.038919,0.618514,10.044113,0.010737,0.003997,0.004195,0.061035,0.061035,0.061035
0.332888,-0.041913,0.613125,10.033934,0.007743,-0.001392,-0.005984,0.061035,0.091553,0.061035
0.343005,-0.046703,0.613724,10.043514,0.002953,-0.000793,0.003596,0.000000,0.091553,0.061035
0.353075,-0.050295,0.609532,10.038126,-0.000639,-0.004984,-0.001793,0.000000,0.091553,0.030518
0.363142,-0.045505,0.613125,10.035731,0.004151,-0.001392,-0.004188,-0.030518,0.061035,0.000000
0.373215,-0.050295,0.610131,10.032737,-0.000639,-0.004385,-0.007181,0.000000,0.061035,0.030518
0.383282,-0.044308,0.612526,10.030342,0.005348,-0.001990,-0.009576,-0.030518,0.030518,0.030518
0.393350,-0.046703,0.614921,10.030941,0.002953,0.000405,-0.008978,-0.030518,0.030518,0.030518
0.403419,-0.047900,0.616119,10.033336,0.001756,0.001602,-0.006583,-0.030518,0.061035,0.000000
0.413492,-0.053289,0.615520,10.031539,-0.003633,0.001004,-0.008379,0.000000,0.030518,0.030518
0.423570,-0.055684,0.619113,10.032138,-0.006028,0.004596,-0.007780,-0.030518,0.000000,0.030518
0.433634,-0.058079,0.622106,10.029743,-0.008423,0.007590,-0.010175,-0.030518,0.030518,0.061035
0.443698,-0.055085,0.622705,10.033336,-0.005430,0.008189,-0.006583,-0.061035,0.030518,0.061035
0.453763,-0.049098,0.623304,10.035731,0.000558,0.008787,-0.004188,-0.030518,0.000000,0.030518
0.463829,-0.047900,0.626298,10.036928,0.001756,0.011781,-0.002990,-0.061035,0.030518,0.000000
0.473899,-0.048499,0.625100,10.033934,0.001157,0.010584,-0.005984,-0.030518,0.061035,0.000000
0.483964,-0.046104,0.623903,10.031539,0.003552,0.009386,-0.008379,-0.030518,0.061035,0.000000
0.494028,-0.043110,0.617915,10.047107,0.006546,0.003399,0.007189,-0.030518,0.061035,-0.061035
0.504098,-0.044308,0.617915,10.045909,0.005348,0.003399,0.005991,0.000000,0.061035,-0.030518
0.514163,-0.041314,0.615520,10.042317,0.008342,0.001004,0.002399,0.030518,0.061035,-0.030518
0.524231,-0.038919,0.613125,10.035731,0.010737,-0.001392,-0.004188,0.030518,0.030518,-0.061035
0.534296,-0.044308,0.617915,10.032138,0.005348,0.003399,-0.007780,0.000000,0.030518,-0.030518
0.544360,-0.044308,0.608335,10.042317,0.005348,-0.006182,0.002399,0.000000,0.030518,0.000000
0.554441,-0.050894,0.614921,10.041718,-0.001238,0.000405,0.001800,0.000000,0.030518,-0.030518
0.564510,-0.052092,0.609532,10.035132,-0.002436,-0.004984,-0.004786,-0.030518,0.061035,-0.030518
0.574581,-0.056882,0.614323,10.025552,-0.007226,-0.000194,-0.014367,-0.030518,0.091553,0.000000
0.584646,-0.060474,0.617915,10.019564,-0.010818,0.003399,-0.020354,-0.030518,0.122070,0.000000
0.594718,-0.059875,0.624501,10.030342,-0.010220,0.009985,-0.009576,-0.030518,0.122070,0.000000
0.604784,-0.054487,0.619113,10.024953,-0.004831,0.004596,-0.014965,-0.061035,0.061035,0.030518
0.614848,-0.056882,0.619113,10.028546,-0.007226,0.004596,-0.011373,-0.030518,0.061035,0.030518
0.624914,-0.057480,0.619113,10.032737,-0.007825,0.004596,-0.007181,-0.030518,0.030518,0.030518
0.634980,-0.059277,0.618514,10.028546,-0.009621,0.003997,-0.011373,-0.030518,0.061035,0.030518
0.645046,-0.056882,0.617915,10.033934,-0.007226,0.003399,-0.005984,-0.030518,0.000000,0.061035
0.655122,-0.051493,0.619711,10.036928,-0.001837,0.005195,-0.002990,-0.030518,0.000000,0.061035
0.665189,-0.052092,0.623903,10.034533,-0.002436,0.009386,-0.005385,-0.030518,0.000000,0.030518
0.675259,-0.052092,0.620909,10.034533,-0.002436,0.006392,-0.005385,0.000000,0.030518,-0.030518
0.685327,-0.054487,0.610730,10.021959,-0.004831,-0.003787,-0.017959,-0.030518,0.030518,0.000000
0.695391,-0.052690,0.607736,10.030941,-0.003034,-0.006780,-0.008978,0.030518,0.030518,0.000000
0.705457,-0.047900,0.611329,10.035132,0.001756,-0.003188,-0.004786,0.030518,0.000000,0.000000
0.715528,-0.048499,0.608934,10.032737,0.001157,-0.005583,-0.007181,0.000000,0.030518,0.000000
0.725596,-0.053289,0.614323,10.040521,-0.003633,-0.000194,0.000602,0.000000,0.030518,0.000000
0.735662,-0.049098,0.611927,10.042916,0.000558,-0.002589,0.002997,0.000000,0.030518,0.000000
0.745728,-0.046104,0.609532,10.048304,0.003552,-0.004984,0.008386,-0.030518,0.000000,0.000000
0.755792,-0.047900,0.610131,10.045909,0.001756,-0.004385,0.005991,0.000000,0.000000,0.030518
0.765858,-0.043110,0.614921,10.047107,0.006546,0.000405,0.007189,0.000000,0.091553,0.000000
0.775946,-0.047302,0.616718,10.038724,0.002354,0.002201,-0.001194,0.000000,0.091553,0.061035
0.786020,-0.041314,0.613125,10.044113,0.008342,-0.001392,0.004195,-0.030518,0.030518,0.030518
0.796086,-0.052690,0.622106,10.053094,-0.003034,0.007590,0.013176,-0.030518,0.030518,0.061035
0.806181,-0.049098,0.622106,10.054292,0.000558,0.007590,0.014374,-0.030518,-0.030518,0.061035
0.816247,-0.047900,0.614921,10.050699,0.001756,0.000405,0.010781,-0.030518,-0.030518,0.000000
0.826313,-0.040715,0.610131,10.035132,0.008941,-0.004385,-0.004786,-0.061035,-0.030518,0.000000
0.836386,-0.040715,0.604144,10.034533,0.008941,-0.010373,-0.005385,-0.030518,0.030518,0.000000
0.846474,-0.043110,0.607137,10.042916,0.006546,-0.007379,0.002997,-0.030518,0.030518,0.061035
0.856539,-0.040117,0.612526,10.042317,0.009539,-0.001990,0.002399,0.000000,0.030518,0.030518
0.866618,-0.042512,0.611329,10.033934,0.007144,-0.003188,-0.005984,-0.030518,0.061035,0.030518
0.876690,-0.041314,0.614323,10.036329,0.008342,-0.000194,-0.003589,0.000000,0.061035,0.030518
0.886757,-0.038919,0.616119,10.033934,0.010737,0.001602,-0.005984,0.000000,0.061035,0.000000
0.896832,-0.047900,0.609532,10.044712,0.001756,-0.004984,0.004794,-0.030518,0.030518,-0.030518
0.906900,-0.044907,0.609532,10.041119,0.004749,-0.004984,0.001201,0.000000,0.030518,0.030518
0.916966,-0.049697,0.609532,10.035731,-0.000041,-0.004984,-0.004188,0.030518,0.030518,0.030518
0.927032,-0.046703,0.608335,10.034533,0.002953,-0.006182,-0.005385,0.000000,0.030518,0.061035
0.937133,-0.042512,0.614323,10.032138,0.007144,-0.000194,-0.007780,-0.030518,0.030518,0.030518
0.947226,-0.049098,0.614323,10.038126,0.000558,-0.000194,-0.001793,0.000000,0.030518,0.000000
0.957303,-0.047302,0.614323,10.038724,0.002354,-0.000194,-0.001194,0.000000,0.000000,0.000000
0.967371,-0.055684,0.608335,10.040521,-0.006028,-0.006182,0.000602,0.000000,0.000000,0.000000
0.977443,-0.052092,0.605940,10.039922,-0.002436,-0.008577,0.000004,0.000000,0.000000,0.030518
0.987509,-0.052092,0.611927,10.037527,-0.002436,-0.002589,-0.002391,0.030518,0.030518,0.061035
0.997575,-0.056283,0.607736,10.042317,-0.006627,-0.006780,0.002399,0.030518,0.000000,0.061035
1.007640,-0.049098,0.608335,10.036928,0.000558,-0.006182,-0.002990,0.000000,0.030518,0.091553
1.017709,-0.041913,0.605341,10.036329,0.007743,-0.009175,-0.003589,0.000000,0.030518,0.091553
1.027786,-0.041314,0.608934,10.038126,0.008342,-0.005583,-0.001793,0.000000,0.091553,0.030518
1.037852,-0.045505,0.615520,10.031539,0.004151,0.001004,-0.008379,0.030518,0.152588,0.030518
1.047919,-0.044907,0.618514,10.042317,0.004749,0.003997,0.002399,-0.030518,0.091553,0.030518
1.057985,-0.044308,0.617316,10.047107,0.005348,0.002800,0.007189,0.000000,0.091553,0.061035
1.068050,-0.049098,0.622106,10.037527,0.000558,0.007590,-0.002391,0.030518,0.091553,0.061035
1.078121,-0.041913,0.617316,10.036928,0.007743,0.002800,-0.002990,-0.061035,0.061035,0.030518
1.088193,-0.041913,0.613125,10.039323,0.007743,-0.001392,-0.000595,0.000000,0.091553,0.030518
1.098274,-0.047900,0.613125,10.050699,0.001756,-0.001392,0.010781,0.061035,0.061035,-0.030518
1.108341,-0.047900,0.611927,10.047706,0.001756,-0.002589,0.007787,0.030518,0.091553,0.000000
1.118407,-0.046104,0.612526,10.047107,0.003552,-0.001990,0.007189,0.030518,0.091553,0.061035
1.128473,-0.046104,0.614921,10.041718,0.003552,0.000405,0.001800,0.061035,0.122070,0.030518
1.138539,-0.046703,0.622106,10.045909,0.002953,0.007590,0.005991,0.030518,0.061035,0.061035
1.148616,-0.044907,0.623903,10.048304,0.004749,0.009386,0.008386,-0.030518,0.030518,0.030518
1.158683,-0.044907,0.622705,10.049502,0.004749,0.008189,0.009584,-0.030518,0.061035,0.030518
1.168749,-0.043110,0.627495,10.051897,0.006546,0.012979,0.011979,-0.030518,-0.030518,0.030518
1.178820,-0.040715,0.629890,10.050699,0.008941,0.015374,0.010781,-0.030518,-0.061035,0.061035
1.188889,-0.038320,0.623304,10.050101,0.011336,0.008787,0.010182,0.000000,-0.030518,0.061035
1.198985,-0.046703,0.623903,10.047706,0.002953,0.009386,0.007787,0.000000,-0.030518,0.061035
1.209061,-0.045505,0.620909,10.045311,0.004151,0.006392,0.005392,0.030518,-0.030518,0.061035
1.219129,-0.045505,0.616119,10.043514,0.004151,0.001602,0.003596,0.000000,0.000000,0.030518
1.229194,-0.044907,0.620310,10.037527,0.004749,0.005794,-0.002391,0.000000,0.030518,0.030518
1.239261,-0.049098,0.621508,10.042317,0.000558,0.006991,0.002399,-0.030518,0.030518,0.030518
1.249328,-0.047900,0.620310,10.047107,0.001756,0.005794,0.007189,-0.030518,0.030518,0.030518
1.259393,-0.045505,0.616119,10.049502,0.004151,0.001602,0.009584,-0.030518,0.030518,0.000000
1.269459,-0.046703,0.620310,10.036928,0.002953,0.005794,-0.002990,-0.030518,0.030518,0.030518
1.279537,-0.047900,0.621508,10.032737,0.001756,0.006991,-0.007181,-0.061035,0.030518,0.030518
1.289603,-0.044308,0.617915,10.045909,0.005348,0.003399,0.005991,-0.030518,0.030518,0.000000
1.299670,-0.047302,0.611927,10.041718,0.002354,-0.002589,0.001800,0.000000,0.000000,0.000000
1.309801,-0.044907,0.613724,10.034533,0.004749,-0.000793,-0.005385,0.000000,0.000000,0.000000
1.319917,-0.049697,0.613125,10.035731,-0.000041,-0.001392,-0.004188,0.000000,0.030518,0.030518
1.330049,-0.049697,0.613724,10.035132,-0.000041,-0.000793,-0.004786,0.000000,0.030518,0.000000
1.340134,-0.043709,0.624501,10.042916,0.005947,0.009985,0.002997,0.000000,0.000000,0.000000
1.350199,-0.049098,0.620310,10.050699,0.000558,0.005794,0.010781,0.000000,-0.030518,-0.030518
1.360283,-0.053888,0.626896,10.045909,-0.004232,0.012380,0.005991,0.000000,0.000000,-0.030518
1.370348,-0.053289,0.622705,10.044113,-0.003633,0.008189,0.004195,0.030518,0.030518,-0.030518
1.380415,-0.049697,0.620909,10.045311,-0.000041,0.006392,0.005392,0.030518,0.000000,-0.030518
1.390483,-0.049697,0.619113,10.051298,-0.000041,0.004596,0.011380,0.000000,0.000000,0.030518
1.400566,-0.050894,0.617316,10.054891,-0.001238,0.002800,0.014972,0.000000,0.030518,0.061035
1.410635,-0.047302,0.621508,10.054292,0.002354,0.006991,0.014374,0.000000,0.000000,0.061035
1.420702,-0.049098,0.619113,10.052496,0.000558,0.004596,0.012577,0.030518,0.000000,0.061035
1.430767,-0.052092,0.617316,10.045311,-0.002436,0.002800,0.005392,0.030518,0.000000,0.091553
