time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.006600,0.000196,0.013930,0.016579,0.000196,0.013930,0.016579,0.061040,0.061040,0.000000
0.016620,-0.003434,0.013342,0.017168,-0.003434,0.013342,0.017168,0.061040,0.030520,0.000000
0.026940,-0.000981,0.010301,0.011183,-0.000981,0.010301,0.011183,0.061040,0.030520,0.030520
0.036870,-0.001570,0.007358,0.005788,-0.001570,0.007358,0.005788,0.030520,0.030520,0.061040
0.046960,0.000785,0.008535,0.010497,0.000785,0.008535,0.010497,0.061040,0.000000,0.061040
0.057060,0.007358,0.013342,0.003335,0.007358,0.013342,0.003335,0.030520,-0.030520,0.061040
0.067350,0.003237,0.007946,0.005199,0.003237,0.007946,0.005199,0.061040,0.000000,0.091550
0.077320,0.001962,0.006082,0.002158,0.001962,0.006082,0.002158,0.030520,0.000000,0.061040
0.088570,-0.002158,-0.007652,-0.007456,-0.002158,-0.007652,-0.007456,0.030520,0.030520,0.030520
0.097630,-0.000392,-0.010006,0.000392,-0.000392,-0.010006,0.000392,0.030520,0.030520,0.030520
0.106580,0.003237,-0.004022,0.000981,0.003237,-0.004022,0.000981,0.061040,0.030520,0.000000
0.116600,0.001962,-0.011281,0.000981,0.001962,-0.011281,0.000981,0.061040,0.030520,0.030520
0.126730,-0.001570,-0.012459,-0.003237,-0.001570,-0.012459,-0.003237,0.030520,0.030520,0.061040
0.136770,0.003237,-0.000491,-0.002649,0.003237,-0.000491,-0.002649,0.030520,0.030520,0.030520
0.146860,0.005592,0.003728,-0.002649,0.005592,0.003728,-0.002649,0.030520,0.000000,0.000000
0.156950,-0.000981,0.004905,0.000981,-0.000981,0.004905,0.000981,0.000000,0.030520,0.030520
0.167030,0.000785,-0.001079,0.001570,0.000785,-0.001079,0.001570,0.030520,0.061040,0.030520
0.177150,0.003826,0.001962,0.001570,0.003826,0.001962,0.001570,0.030520,0.030520,0.030520
0.187220,0.000785,-0.011281,-0.004415,0.000785,-0.011281,-0.004415,0.000000,0.000000,0.030520
0.197300,-0.002747,-0.015402,0.000392,-0.002747,-0.015402,0.000392,0.030520,0.000000,0.000000
0.207730,-0.009418,-0.008240,0.010497,-0.009418,-0.008240,0.010497,0.061040,0.000000,0.000000
0.218040,-0.012949,-0.007652,0.011772,-0.012949,-0.007652,0.011772,0.030520,0.030520,0.000000
0.228130,-0.009418,-0.008829,0.002158,-0.009418,-0.008829,0.002158,0.030520,0.030520,0.061040
0.238220,-0.008142,-0.005297,-0.004415,-0.008142,-0.005297,-0.004415,0.030520,0.030520,0.030520
0.248310,0.000785,-0.005297,0.002747,0.000785,-0.005297,0.002747,0.030520,0.000000,0.061040
0.258400,0.007358,-0.008240,0.007554,0.007358,-0.008240,0.007554,0.000000,0.000000,0.061040
0.268490,0.003826,-0.004022,0.006965,0.003826,-0.004022,0.006965,0.000000,0.030520,0.061040
0.278580,0.001373,-0.005886,0.000392,0.001373,-0.005886,0.000392,0.000000,0.030520,0.030520
0.288670,-0.004022,-0.008240,-0.002060,-0.004022,-0.008240,-0.002060,0.030520,0.000000,0.061040
0.298760,-0.002747,-0.005886,0.009908,-0.002747,-0.005886,0.009908,0.000000,0.000000,0.000000
0.309200,-0.001570,-0.014224,0.009319,-0.001570,-0.014224,0.009319,0.000000,0.030520,-0.030520
0.319770,-0.000981,-0.010693,0.004513,-0.000981,-0.010693,0.004513,0.000000,0.030520,0.000000
0.329740,-0.002747,-0.008240,0.003335,-0.002747,-0.008240,0.003335,0.000000,0.030520,-0.030520
0.339810,-0.003434,-0.004611,0.002158,-0.003434,-0.004611,0.002158,0.030520,0.030520,0.000000
0.349900,-0.003434,-0.005297,-0.001471,-0.003434,-0.005297,-0.001471,0.000000,0.000000,0.000000
0.359990,-0.004611,-0.001079,-0.004415,-0.004611,-0.001079,-0.004415,0.000000,0.030520,0.000000
0.370090,0.003826,0.006671,-0.008633,0.003826,0.006671,-0.008633,-0.061040,0.030520,-0.030520
0.380260,-0.002158,0.000687,-0.009810,-0.002158,0.000687,-0.009810,-0.061040,0.000000,-0.030520
0.390460,-0.011183,-0.001079,-0.014617,-0.011183,-0.001079,-0.014617,-0.030520,0.030520,0.030520
