time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.000480,-0.169448,-0.778381,10.038724,-0.001164,-0.010748,-0.008656,0.000000,0.000000,0.000000
0.010557,-0.166454,-0.774789,10.041718,0.001830,-0.007156,-0.005662,-0.030518,0.000000,-0.030518
0.020630,-0.163460,-0.771795,10.055490,0.004824,-0.004162,0.008109,-0.061035,0.030518,0.000000
0.030696,-0.171843,-0.769999,10.056088,-0.003559,-0.002366,0.008708,-0.061035,0.030518,0.000000
0.040777,-0.165256,-0.767604,10.053693,0.003027,0.000029,0.006313,0.000000,0.030518,0.000000
0.050850,-0.163460,-0.769999,10.051897,0.004824,-0.002366,0.004517,0.000000,0.030518,-0.030518
0.060916,-0.183818,-0.817300,10.093211,-0.015534,-0.049667,0.045831,0.518799,-0.183105,-0.030518
0.070991,-0.189805,-0.835263,10.117161,-0.021521,-0.067630,0.069781,1.434326,-0.518799,-0.030518
0.081063,-0.189805,-0.828078,10.108779,-0.021521,-0.060445,0.061399,3.265381,-1.220703,-0.091553
0.091130,-0.152084,-0.711920,9.995614,0.016200,0.055713,-0.051766,3.082275,-1.129150,-0.091553
0.101202,-0.135917,-0.687371,9.971065,0.032366,0.080262,-0.076315,2.166748,-0.762939,-0.030518
0.111274,-0.155078,-0.735271,10.036329,0.013206,0.032362,-0.011051,0.274658,-0.030518,0.061035
0.121341,-0.170645,-0.773591,10.069860,-0.002361,-0.005958,0.022480,0.213623,0.000000,0.030518
0.131415,-0.160466,-0.748444,10.057885,0.007817,0.019189,0.010504,0.915527,-0.305176,0.000000
0.141487,-0.153281,-0.723296,10.031539,0.015003,0.044337,-0.015841,0.885010,-0.305176,0.000000
0.151551,-0.150287,-0.717907,10.023755,0.017996,0.049726,-0.023625,0.213623,-0.061035,0.030518
0.161623,-0.162263,-0.738864,10.046508,0.006021,0.028769,-0.000872,0.000000,0.000000,0.000000
0.171695,-0.167053,-0.749641,10.056687,0.001231,0.017992,0.009307,0.030518,0.030518,0.000000
0.181760,-0.155676,-0.733475,10.045909,0.012608,0.034158,-0.001471,0.030518,0.030518,0.030518
0.191833,-0.152682,-0.725092,10.033336,0.015601,0.042541,-0.014045,-0.183105,0.152588,0.030518
0.201905,-0.156874,-0.753234,10.045909,0.011410,0.014399,-0.001471,-0.610352,0.274658,0.061035
0.211971,-0.160466,-0.767005,10.066866,0.007817,0.000628,0.019486,-0.579834,0.274658,0.061035
0.222044,-0.167053,-0.764011,10.069261,0.001231,0.003622,0.021881,-0.366211,0.183105,0.030518
0.232115,-0.166454,-0.754431,10.062675,0.001830,0.013202,0.015294,-0.335693,0.183105,0.030518
0.242181,-0.165256,-0.762814,10.060280,0.003027,0.004819,0.012899,-0.305176,0.152588,0.030518
0.252252,-0.169448,-0.761017,10.050101,-0.001164,0.006615,0.002721,-0.183105,0.061035,0.030518
0.262323,-0.170645,-0.765807,10.051298,-0.002361,0.001825,0.003918,-0.091553,0.030518,0.030518
