time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.002311,-0.059875,0.035925,10.060280,0.013822,0.007874,0.007710,0.030518,0.030518,0.030518
0.012426,-0.065863,0.038919,10.060280,0.007834,0.010867,0.007710,0.030518,0.061035,0.061035
0.022525,-0.065264,0.040715,10.062675,0.008433,0.012664,0.010105,0.000000,0.091553,0.061035
0.032624,-0.063468,0.041913,10.059681,0.010229,0.013861,0.007112,0.000000,0.091553,0.061035
0.042715,-0.064067,0.040715,10.049502,0.009630,0.012664,-0.003067,0.000000,0.061035,0.030518
0.052806,-0.068258,0.028141,10.042916,0.005439,0.000090,-0.009653,-0.030518,0.030518,0.030518
0.062895,-0.068857,0.027543,10.054292,0.004840,-0.000509,0.001723,-0.030518,0.030518,0.030518
0.072981,-0.080832,0.026345,10.056687,-0.007135,-0.001706,0.004118,-0.030518,0.061035,0.061035
0.083089,-0.079036,0.031135,10.053693,-0.005339,0.003084,0.001124,0.000000,0.091553,0.030518
0.093179,-0.078437,0.031734,10.050699,-0.004740,0.003682,-0.001870,0.000000,0.030518,0.030518
0.103269,-0.085023,0.033530,10.043514,-0.011326,0.005479,-0.009055,0.000000,0.061035,0.030518
0.113361,-0.083227,0.023351,10.044712,-0.009530,-0.004700,-0.007857,0.000000,0.000000,0.000000
0.123450,-0.083227,0.029938,10.049502,-0.009530,0.001886,-0.003067,-0.030518,0.030518,0.000000
0.133539,-0.080233,0.032932,10.046508,-0.006536,0.004880,-0.006061,0.000000,0.030518,0.000000
0.143629,-0.079634,0.031135,10.050699,-0.005937,0.003084,-0.001870,0.030518,0.030518,0.000000
0.153733,-0.079634,0.032333,10.048304,-0.005937,0.004281,-0.004265,0.000000,0.030518,0.000000
0.163824,-0.079634,0.026944,10.051298,-0.005937,-0.001108,-0.001271,0.030518,0.030518,0.000000
0.173914,-0.077239,0.023351,10.054891,-0.003542,-0.004700,0.002322,0.030518,0.030518,-0.030518
0.184002,-0.075443,0.019759,10.056687,-0.001746,-0.008293,0.004118,0.030518,0.030518,-0.030518
0.194092,-0.081431,0.023950,10.047706,-0.007734,-0.004101,-0.004863,-0.030518,0.061035,-0.030518
0.204182,-0.080233,0.022753,10.048903,-0.006536,-0.005299,-0.003666,0.000000,0.091553,0.000000
0.214277,-0.072449,0.028141,10.056687,0.001248,0.000090,0.004118,0.030518,0.091553,0.000000
0.224365,-0.076042,0.031734,10.053094,-0.002345,0.003682,0.000525,0.030518,0.091553,-0.030518
0.234455,-0.080832,0.034728,10.056088,-0.007135,0.006676,0.003519,0.000000,0.061035,-0.091553
0.244547,-0.080832,0.032932,10.056687,-0.007135,0.004880,0.004118,0.000000,0.061035,-0.061035
0.254643,-0.084424,0.035925,10.056687,-0.010727,0.007874,0.004118,0.030518,0.061035,-0.061035
0.264784,-0.077239,0.037722,10.060280,-0.003542,0.009670,0.007710,0.030518,0.061035,-0.030518
0.274883,-0.076641,0.034728,10.056687,-0.002944,0.006676,0.004118,-0.061035,0.061035,-0.030518
0.284980,-0.067061,0.041314,10.056088,0.006636,0.013262,0.003519,-0.030518,0.061035,-0.030518
0.295077,-0.065863,0.040117,10.054891,0.007834,0.012065,0.002322,-0.030518,0.061035,-0.030518
0.305174,-0.074844,0.036524,10.062076,-0.001147,0.008472,0.009507,-0.030518,0.061035,0.000000
0.315272,-0.071252,0.032932,10.067465,0.002445,0.004880,0.014896,-0.030518,0.030518,-0.030518
