time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.003631,-0.074844,-0.699346,10.086026,0.010558,0.012246,0.000769,0.122070,0.030518,0.000000
0.013724,-0.084424,-0.707130,10.086625,0.000977,0.004462,0.001367,0.122070,0.061035,0.000000
0.023809,-0.084424,-0.705932,10.087822,0.000977,0.005660,0.002565,0.091553,0.061035,0.000000
0.033892,-0.089813,-0.712518,10.087822,-0.004411,-0.000927,0.002565,0.061035,0.030518,0.000000
0.043981,-0.088616,-0.712518,10.087224,-0.003214,-0.000927,0.001966,0.091553,0.030518,-0.030518
0.054064,-0.091011,-0.714315,10.090217,-0.005609,-0.002723,0.004960,0.091553,0.061035,-0.030518
0.064149,-0.091609,-0.718506,10.081236,-0.006208,-0.006914,-0.004021,0.061035,0.061035,0.000000
0.074233,-0.084424,-0.717308,10.085427,0.000977,-0.005717,0.000170,0.091553,0.061035,0.061035
0.084345,-0.078437,-0.719105,10.080038,0.006965,-0.007513,-0.005219,0.091553,0.061035,0.030518
0.094429,-0.083826,-0.717308,10.082433,0.001576,-0.005717,-0.002824,0.091553,0.030518,0.030518
0.104514,-0.089214,-0.713117,10.078242,-0.003813,-0.001525,-0.007015,0.061035,0.061035,0.030518
0.114695,-0.083826,-0.710722,10.080637,0.001576,0.000870,-0.004620,0.061035,0.030518,0.000000
0.124782,-0.095202,-0.714315,10.086026,-0.009800,-0.002723,0.000769,0.061035,0.030518,0.030518
0.134875,-0.092208,-0.716710,10.081835,-0.006806,-0.005118,-0.003423,0.061035,0.030518,0.000000
0.144964,-0.088017,-0.714315,10.080637,-0.002615,-0.002723,-0.004620,0.061035,0.061035,0.030518
0.155051,-0.080233,-0.717308,10.076446,0.005169,-0.005717,-0.008811,0.061035,0.030518,0.000000
0.165140,-0.079036,-0.713716,10.077643,0.006366,-0.002124,-0.007614,0.061035,0.061035,0.000000
0.175226,-0.074844,-0.714315,10.078841,0.010558,-0.002723,-0.006416,0.061035,0.061035,0.000000
0.185316,-0.080832,-0.720302,10.077045,0.004570,-0.008710,-0.008213,0.091553,0.030518,0.000000
0.195405,-0.083826,-0.716710,10.074650,0.001576,-0.005118,-0.010608,0.061035,0.061035,0.030518
0.205525,-0.084424,-0.714315,10.077045,0.000977,-0.002723,-0.008213,0.061035,0.091553,0.000000
0.215650,-0.083826,-0.710722,10.081835,0.001576,0.000870,-0.003423,0.061035,0.091553,0.000000
0.225763,-0.074844,-0.714913,10.083631,0.010558,-0.003322,-0.001626,0.091553,0.061035,-0.030518
0.235910,-0.079036,-0.714315,10.084230,0.006366,-0.002723,-0.001028,0.091553,0.061035,0.000000
0.246003,-0.085023,-0.719105,10.089020,0.000379,-0.007513,0.003762,0.091553,0.061035,0.000000
0.256106,-0.080832,-0.713716,10.085427,0.004570,-0.002124,0.000170,0.091553,0.091553,0.030518
0.266197,-0.085622,-0.709525,10.099199,-0.000220,0.002067,0.013941,0.061035,0.061035,0.030518
0.276286,-0.086221,-0.712518,10.095606,-0.000819,-0.000927,0.010349,0.091553,0.061035,0.030518
0.286392,-0.088017,-0.706531,10.096804,-0.002615,0.005061,0.011546,0.091553,0.000000,0.030518
0.296489,-0.089214,-0.720901,10.087224,-0.003813,-0.009309,0.001966,0.091553,0.000000,0.030518
0.306576,-0.084424,-0.723895,10.083032,0.000977,-0.012303,-0.002225,0.091553,0.000000,0.030518
0.316665,-0.079036,-0.715512,10.077643,0.006366,-0.003920,-0.007614,0.091553,0.030518,0.061035
0.326752,-0.079036,-0.716111,10.080637,0.006366,-0.004519,-0.004620,0.091553,0.030518,0.061035
0.336840,-0.088017,-0.716111,10.078242,-0.002615,-0.004519,-0.007015,0.091553,0.061035,0.000000
0.346932,-0.087418,-0.712518,10.073452,-0.002016,-0.000927,-0.011805,0.061035,0.061035,0.000000
0.357025,-0.092807,-0.713716,10.076446,-0.007405,-0.002124,-0.008811,0.091553,0.061035,0.000000
0.367115,-0.089214,-0.705932,10.083631,-0.003813,0.005660,-0.001626,0.061035,0.061035,-0.030518
0.377208,-0.086819,-0.711920,10.080038,-0.001418,-0.000328,-0.005219,0.091553,0.061035,0.000000
0.387298,-0.087418,-0.707130,10.080637,-0.002016,0.004462,-0.004620,0.061035,0.030518,0.000000
0.397388,-0.094603,-0.711920,10.072853,-0.009201,-0.000328,-0.012404,0.091553,0.061035,0.000000
0.407480,-0.097597,-0.709525,10.069261,-0.012195,0.002067,-0.015996,0.061035,0.030518,0.000000
0.417659,-0.098196,-0.708327,10.080637,-0.012794,0.003265,-0.004620,0.030518,0.030518,0.000000
0.427758,-0.092208,-0.706531,10.083631,-0.006806,0.005061,-0.001626,0.061035,0.000000,0.061035
0.437856,-0.094603,-0.708327,10.078841,-0.009201,0.003265,-0.006416,0.061035,0.030518,0.061035
0.447955,-0.095202,-0.712518,10.075847,-0.009800,-0.000927,-0.009410,0.061035,0.030518,0.061035
0.458053,-0.095202,-0.702938,10.068063,-0.009800,0.008654,-0.017194,0.061035,0.030518,0.030518
0.468151,-0.095202,-0.706531,10.074650,-0.009800,0.005061,-0.010608,0.061035,0.030518,0.061035
0.478249,-0.098795,-0.705333,10.085427,-0.013393,0.006258,0.000170,0.061035,0.030518,0.061035
0.488382,-0.096400,-0.708327,10.083032,-0.010998,0.003265,-0.002225,0.030518,0.061035,0.030518
0.498531,-0.094005,-0.713117,10.080637,-0.008603,-0.001525,-0.004620,0.061035,0.061035,0.000000
0.508636,-0.086819,-0.713716,10.081236,-0.001418,-0.002124,-0.004021,0.061035,0.061035,0.000000
0.518846,-0.088616,-0.717907,10.084230,-0.003214,-0.006315,-0.001028,0.061035,0.061035,0.000000
0.528933,-0.082029,-0.719105,10.086625,0.003372,-0.007513,0.001367,0.061035,0.030518,0.000000
0.539021,-0.079634,-0.722697,10.089619,0.005768,-0.011105,0.004361,0.091553,0.000000,0.000000
0.549107,-0.074844,-0.719105,10.081835,0.010558,-0.007513,-0.003423,0.091553,0.030518,0.000000
0.559194,-0.073647,-0.721500,10.077643,0.011755,-0.009908,-0.007614,0.091553,0.030518,0.000000
