time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.001367,0.044308,-0.677791,10.062076,0.002007,-0.011041,0.001089,0.152588,0.091553,0.030518
0.011476,0.043709,-0.677791,10.055490,0.001409,-0.011041,-0.005497,0.183105,0.091553,0.030518
0.021570,0.041314,-0.675396,10.070458,-0.000986,-0.008646,0.009472,0.183105,0.091553,0.030518
0.032889,0.041913,-0.675396,10.072255,-0.000388,-0.008646,0.011268,0.244141,0.122070,0.030518
0.043011,0.045505,-0.673599,10.072853,0.003205,-0.006850,0.011867,0.244141,0.091553,0.030518
0.053107,0.049697,-0.676593,10.069261,0.007396,-0.009844,0.008274,0.244141,0.122070,0.030518
0.063183,0.046104,-0.671803,10.059082,0.003804,-0.005053,-0.001905,0.335693,0.091553,0.030518
0.073258,0.044308,-0.671803,10.057885,0.002007,-0.005053,-0.003102,0.335693,0.091553,0.030518
0.083333,0.028740,-0.664618,10.059082,-0.013560,0.002132,-0.001905,0.305176,0.091553,0.030518
0.093408,0.025746,-0.672402,10.058483,-0.016554,-0.005652,-0.002504,0.244141,0.091553,0.030518
0.103481,0.027543,-0.672402,10.053693,-0.014758,-0.005652,-0.007294,0.183105,0.091553,0.030518
0.113556,0.023351,-0.662822,10.047107,-0.018949,0.003928,-0.013880,0.091553,0.061035,0.030518
0.123629,0.029339,-0.667612,10.052496,-0.012962,-0.000862,-0.008491,0.000000,0.030518,0.030518
0.133705,0.029339,-0.669408,10.052496,-0.012962,-0.002658,-0.008491,-0.122070,0.061035,0.030518
0.143785,0.028141,-0.667612,10.053094,-0.014159,-0.000862,-0.007892,-0.213623,0.030518,0.000000
0.153876,0.028740,-0.674198,10.043514,-0.013560,-0.007449,-0.017472,-0.366211,0.000000,0.030518
0.163961,0.029339,-0.679587,10.045311,-0.012962,-0.012837,-0.015676,-0.366211,-0.030518,0.030518
0.174053,0.033530,-0.675396,10.053693,-0.008770,-0.008646,-0.007294,-0.305176,0.030518,0.030518
0.184160,0.034129,-0.676593,10.059681,-0.008172,-0.009844,-0.001306,-0.274658,0.030518,0.030518
0.194251,0.033530,-0.684377,10.060280,-0.008770,-0.017627,-0.000707,-0.274658,0.030518,0.030518
0.204340,0.033530,-0.683778,10.051298,-0.008770,-0.017029,-0.009689,-0.122070,0.091553,0.030518
0.214430,0.036524,-0.682581,10.056088,-0.005776,-0.015831,-0.004899,-0.061035,0.091553,0.030518
0.224517,0.044308,-0.677192,10.069261,0.002007,-0.010442,0.008274,0.091553,0.091553,0.000000
0.234609,0.038320,-0.677192,10.066866,-0.003980,-0.010442,0.005879,0.183105,0.091553,0.030518
0.244712,0.041314,-0.677791,10.059681,-0.000986,-0.011041,-0.001306,0.457764,0.122070,0.000000
0.254803,0.041913,-0.678988,10.050699,-0.000388,-0.012239,-0.010287,0.610352,0.122070,-0.030518
0.264893,0.041913,-0.676593,10.049502,-0.000388,-0.009844,-0.011485,0.854492,0.152588,0.000000
0.274982,0.033530,-0.668809,10.061477,-0.008770,-0.002060,0.000490,0.823975,0.152588,0.000000
0.285072,0.034728,-0.674198,10.062675,-0.007573,-0.007449,0.001688,0.793457,0.183105,0.000000
0.295163,0.035327,-0.660427,10.053094,-0.006974,0.006323,-0.007892,0.610352,0.122070,-0.030518
0.305273,0.038919,-0.677192,10.050101,-0.003381,-0.010442,-0.010886,0.335693,0.061035,0.000000
0.315360,0.040117,-0.664618,10.044113,-0.002184,0.002132,-0.016874,0.305176,0.061035,0.030518
0.325452,0.035925,-0.673000,10.048304,-0.006375,-0.006251,-0.012682,0.183105,0.061035,0.030518
0.335538,0.037123,-0.674198,10.050699,-0.005178,-0.007449,-0.010287,0.183105,0.091553,0.030518
0.345627,0.039518,-0.667013,10.049502,-0.002783,-0.000263,-0.011485,0.122070,0.091553,0.000000
0.355739,0.037722,-0.667612,10.045909,-0.004579,-0.000862,-0.015077,0.152588,0.091553,0.030518
0.365838,0.038919,-0.671204,10.052496,-0.003381,-0.004455,-0.008491,0.091553,0.091553,0.030518
0.375930,0.035925,-0.668809,10.054292,-0.006375,-0.002060,-0.006695,0.152588,0.091553,0.030518
0.386028,0.035327,-0.673000,10.052496,-0.006974,-0.006251,-0.008491,0.152588,0.091553,-0.030518
0.396123,0.034728,-0.675994,10.053094,-0.007573,-0.009245,-0.007892,0.152588,0.091553,-0.030518
0.406219,0.031734,-0.674198,10.057885,-0.010567,-0.007449,-0.003102,0.152588,0.091553,-0.030518
0.416318,0.035327,-0.669408,10.066267,-0.006974,-0.002658,0.005280,0.152588,0.061035,0.000000
0.426433,0.037123,-0.670605,10.062076,-0.005178,-0.003856,0.001089,0.122070,0.091553,0.000000
0.436528,0.036524,-0.671803,10.062076,-0.005776,-0.005053,0.001089,0.122070,0.061035,0.000000
0.446727,0.034728,-0.670605,10.056687,-0.007573,-0.003856,-0.004300,0.122070,0.061035,0.000000
0.456818,0.031135,-0.670605,10.057885,-0.011165,-0.003856,-0.003102,0.152588,0.030518,0.030518
0.466908,0.031135,-0.671204,10.059681,-0.011165,-0.004455,-0.001306,0.152588,0.030518,0.000000
0.476999,0.031734,-0.671803,10.056088,-0.010567,-0.005053,-0.004899,0.152588,0.030518,0.000000
0.487105,0.032932,-0.673599,10.062675,-0.009369,-0.006850,0.001688,0.213623,0.030518,0.030518
0.497195,0.034129,-0.670605,10.061477,-0.008172,-0.003856,0.000490,0.244141,0.030518,0.030518
0.507286,0.041314,-0.662822,10.053693,-0.000986,0.003928,-0.007294,0.244141,0.030518,0.030518
0.517378,0.041314,-0.661025,10.054891,-0.000986,0.005724,-0.006096,0.244141,0.000000,0.030518
0.527468,0.041913,-0.658630,10.065070,-0.000388,0.008119,0.004083,0.305176,0.061035,0.030518
0.537559,0.040117,-0.657433,10.062675,-0.002184,0.009317,0.001688,0.244141,0.061035,0.030518
0.547699,0.042512,-0.659229,10.053094,0.000211,0.007520,-0.007892,0.274658,0.091553,0.030518
