time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.001027,-0.068258,0.026345,10.053094,0.002289,-0.007300,-0.002858,0.000000,0.000000,-0.061035
0.011127,-0.066462,0.027543,10.060878,0.004086,-0.006103,0.004926,0.030518,0.000000,-0.030518
0.021227,-0.070653,0.029339,10.059681,-0.000106,-0.004307,0.003729,-0.030518,-0.030518,-0.030518
0.031322,-0.068258,0.031135,10.063273,0.002289,-0.002510,0.007321,0.000000,0.000000,-0.030518
0.041417,-0.065863,0.031734,10.054891,0.004685,-0.001912,-0.001061,0.000000,-0.030518,0.000000
0.051511,-0.073647,0.031135,10.053693,-0.003099,-0.002510,-0.002259,0.000000,-0.030518,-0.030518
0.061708,-0.068857,0.034728,10.051897,0.001691,0.001082,-0.004055,0.000000,0.000000,-0.061035
0.071797,-0.070054,0.035327,10.055490,0.000493,0.001681,-0.000463,0.000000,0.000000,-0.061035
0.081888,-0.074844,0.032932,10.057885,-0.004297,-0.000714,0.001932,-0.030518,0.000000,-0.061035
0.091975,-0.069456,0.035925,10.057286,0.001092,0.002280,0.001334,-0.061035,0.000000,-0.030518
0.102066,-0.070054,0.039518,10.058483,0.000493,0.005872,0.002531,-0.061035,0.000000,0.030518
0.112153,-0.068258,0.034129,10.063273,0.002289,0.000483,0.007321,-0.030518,0.030518,0.030518
0.122241,-0.071252,0.033530,10.069860,-0.000704,-0.000115,0.013908,-0.061035,0.030518,0.030518
0.132329,-0.074246,0.036524,10.068662,-0.003698,0.002879,0.012710,-0.030518,0.061035,-0.030518
0.142418,-0.080233,0.036524,10.068662,-0.009686,0.002879,0.012710,-0.030518,0.061035,0.000000
0.152507,-0.076042,0.036524,10.068662,-0.005494,0.002879,0.012710,0.000000,0.030518,-0.030518
0.162671,-0.071851,0.041314,10.069261,-0.001303,0.007669,0.013309,0.030518,0.000000,0.000000
0.172767,-0.078437,0.035925,10.074650,-0.007889,0.002280,0.018698,0.000000,0.000000,0.030518
0.182864,-0.075443,0.035925,10.065070,-0.004896,0.002280,0.009118,-0.030518,-0.030518,0.000000
0.192962,-0.073048,0.041314,10.068063,-0.002501,0.007669,0.012111,-0.030518,0.000000,0.000000
0.203059,-0.074246,0.043709,10.065070,-0.003698,0.010064,0.009118,-0.030518,0.030518,-0.030518
0.213156,-0.068258,0.040715,10.063273,0.002289,0.007070,0.007321,-0.030518,0.030518,-0.061035
0.223253,-0.064666,0.038320,10.049502,0.005882,0.004675,-0.006450,-0.030518,0.000000,-0.030518
0.233348,-0.068857,0.038919,10.046508,0.001691,0.005274,-0.009444,0.000000,0.000000,-0.061035
0.243445,-0.067061,0.032333,10.044712,0.003487,-0.001313,-0.011240,0.000000,0.000000,-0.061035
0.253543,-0.067061,0.035925,10.048304,0.003487,0.002280,-0.007648,-0.030518,-0.030518,-0.061035
0.263666,-0.068258,0.033530,10.044712,0.002289,-0.000115,-0.011240,-0.061035,-0.030518,-0.030518
0.273763,-0.063468,0.038320,10.052496,0.007080,0.004675,-0.003456,-0.091553,0.000000,0.000000
0.283861,-0.063468,0.031734,10.054292,0.007080,-0.001912,-0.001660,-0.061035,0.000000,0.000000
0.293958,-0.068857,0.028141,10.057885,0.001691,-0.005504,0.001932,-0.030518,0.000000,0.000000
0.304055,-0.068857,0.030536,10.048903,0.001691,-0.003109,-0.007049,0.000000,0.030518,0.030518
0.314151,-0.068258,0.021555,10.057885,0.002289,-0.012090,0.001932,0.030518,0.061035,0.000000
0.324248,-0.074844,0.024549,10.064471,-0.004297,-0.009097,0.008519,0.030518,0.061035,0.000000
0.334345,-0.076641,0.021555,10.060280,-0.006093,-0.012090,0.004328,-0.030518,0.030518,0.000000
0.344443,-0.077838,0.033530,10.059082,-0.007291,-0.000115,0.003130,-0.030518,0.030518,-0.061035
0.354540,-0.076042,0.033530,10.056687,-0.005494,-0.000115,0.000735,-0.061035,0.030518,-0.030518
0.364665,-0.074246,0.031135,10.062675,-0.003698,-0.002510,0.006723,-0.061035,0.061035,-0.030518
0.374762,-0.073647,0.030536,10.062675,-0.003099,-0.003109,0.006723,-0.061035,0.030518,-0.061035
0.384859,-0.069456,0.036524,10.063273,0.001092,0.002879,0.007321,-0.030518,0.030518,-0.061035
0.394957,-0.069456,0.036524,10.065668,0.001092,0.002879,0.009716,-0.030518,0.030518,-0.030518
0.405056,-0.067061,0.038919,10.056088,0.003487,0.005274,0.000136,-0.061035,0.091553,0.000000
0.415153,-0.070653,0.034728,10.063273,-0.000106,0.001082,0.007321,-0.061035,0.091553,0.000000
0.425250,-0.065264,0.035327,10.065070,0.005283,0.001681,0.009118,-0.061035,0.061035,0.000000
0.435348,-0.070054,0.038320,10.059082,0.000493,0.004675,0.003130,-0.061035,0.030518,0.030518
0.445446,-0.066462,0.040117,10.060878,0.004086,0.006471,0.004926,-0.030518,0.030518,-0.030518
0.455543,-0.062869,0.041314,10.054891,0.007678,0.007669,-0.001061,-0.061035,0.030518,-0.030518
0.465665,-0.062271,0.040117,10.057885,0.008277,0.006471,0.001932,-0.030518,0.030518,-0.030518
0.475762,-0.060474,0.041314,10.057286,0.010073,0.007669,0.001334,-0.030518,0.030518,-0.030518
0.485859,-0.071851,0.035327,10.049502,-0.001303,0.001681,-0.006450,-0.030518,0.030518,-0.030518
0.495955,-0.074844,0.035925,10.053693,-0.004297,0.002280,-0.002259,-0.061035,0.000000,-0.030518
0.506052,-0.066462,0.037722,10.047706,0.004086,0.004076,-0.008246,-0.061035,-0.030518,-0.061035
0.516151,-0.073048,0.036524,10.047107,-0.002501,0.002879,-0.008845,-0.061035,-0.061035,-0.061035
0.526249,-0.068857,0.038919,10.050699,0.001691,0.005274,-0.005253,-0.030518,-0.030518,-0.061035
0.536345,-0.071252,0.036524,10.050101,-0.000704,0.002879,-0.005851,-0.061035,-0.061035,-0.030518
0.546443,-0.065863,0.034728,10.049502,0.004685,0.001082,-0.006450,-0.030518,-0.030518,-0.030518
0.556540,-0.069456,0.036524,10.050101,0.001092,0.002879,-0.005851,0.000000,0.000000,0.000000
0.566667,-0.067061,0.034129,10.056088,0.003487,0.000483,0.000136,0.000000,-0.030518,0.000000
0.576764,-0.070653,0.039518,10.052496,-0.000106,0.005872,-0.003456,0.000000,-0.030518,0.000000
0.586861,-0.061073,0.041314,10.050699,0.009475,0.007669,-0.005253,-0.030518,0.000000,0.000000
0.596956,-0.061073,0.035327,10.048903,0.009475,0.001681,-0.007049,-0.061035,0.000000,-0.030518
0.607054,-0.058079,0.036524,10.050101,0.012468,0.002879,-0.005851,-0.061035,-0.030518,-0.030518
0.617152,-0.065264,0.034129,10.050699,0.005283,0.000483,-0.005253,-0.061035,-0.061035,-0.030518
0.627249,-0.065264,0.035327,10.051298,0.005283,0.001681,-0.004654,-0.061035,-0.030518,-0.061035
0.637347,-0.068258,0.034728,10.051298,0.002289,0.001082,-0.004654,-0.091553,-0.061035,-0.030518
0.647444,-0.068857,0.032333,10.052496,0.001691,-0.001313,-0.003456,-0.061035,-0.030518,0.000000
0.657541,-0.069456,0.031734,10.048903,0.001092,-0.001912,-0.007049,-0.030518,-0.030518,-0.030518
0.667664,-0.070054,0.036524,10.056088,0.000493,0.002879,0.000136,0.000000,0.000000,-0.061035
0.677761,-0.065264,0.032932,10.057885,0.005283,-0.000714,0.001932,0.000000,0.000000,-0.061035
0.687858,-0.063468,0.037722,10.049502,0.007080,0.004076,-0.006450,0.000000,-0.030518,-0.061035
0.697955,-0.062869,0.040117,10.045909,0.007678,0.006471,-0.010043,0.000000,0.000000,-0.091553
0.708052,-0.066462,0.025148,10.041119,0.004086,-0.008498,-0.014833,0.000000,0.030518,-0.061035
0.718149,-0.060474,0.026944,10.046508,0.010073,-0.006702,-0.009444,0.000000,0.000000,-0.091553
0.728245,-0.056283,0.020956,10.047107,0.014265,-0.012689,-0.008845,0.000000,0.000000,-0.061035
0.738343,-0.061073,0.028141,10.050101,0.009475,-0.005504,-0.005851,-0.030518,0.000000,-0.030518
0.748440,-0.068258,0.029339,10.047706,0.002289,-0.004307,-0.008246,0.000000,-0.030518,-0.061035
0.758537,-0.066462,0.035327,10.051298,0.004086,0.001681,-0.004654,0.000000,0.000000,-0.030518
0.768660,-0.068857,0.036524,10.056088,0.001691,0.002879,0.000136,-0.030518,0.000000,-0.030518
0.778757,-0.065264,0.038320,10.053094,0.005283,0.004675,-0.002858,-0.030518,0.000000,-0.061035
0.788854,-0.053888,0.038320,10.050101,0.016660,0.004675,-0.005851,0.000000,0.000000,-0.030518
0.798949,-0.048499,0.040117,10.047107,0.022048,0.006471,-0.008845,0.000000,-0.030518,-0.061035
0.809047,-0.057480,0.040715,10.048903,0.013067,0.007070,-0.007049,-0.030518,0.000000,-0.030518
0.819145,-0.059277,0.040715,10.053693,0.011271,0.007070,-0.002259,-0.030518,0.000000,-0.030518
0.829239,-0.061073,0.037722,10.052496,0.009475,0.004076,-0.003456,-0.030518,0.000000,-0.030518
0.839336,-0.067061,0.040117,10.053094,0.003487,0.006471,-0.002858,0.000000,0.000000,-0.030518
0.849433,-0.062869,0.036524,10.056088,0.007678,0.002879,0.000136,-0.030518,0.000000,-0.061035
0.859531,-0.061672,0.037722,10.057286,0.008876,0.004076,0.001334,-0.030518,0.000000,-0.091553
0.869661,-0.064067,0.039518,10.063273,0.006481,0.005872,0.007321,-0.061035,0.000000,-0.061035
0.879756,-0.065863,0.040117,10.057885,0.004685,0.006471,0.001932,-0.061035,0.000000,-0.061035
0.889851,-0.068857,0.034728,10.056088,0.001691,0.001082,0.000136,-0.030518,0.030518,-0.091553
0.899947,-0.079634,0.036524,10.052496,-0.009087,0.002879,-0.003456,-0.030518,0.030518,-0.091553
0.910041,-0.086221,0.039518,10.052496,-0.015673,0.005872,-0.003456,-0.030518,0.030518,-0.091553
0.920135,-0.080832,0.040117,10.060280,-0.010284,0.006471,0.004328,-0.030518,0.030518,0.000000
0.930229,-0.081431,0.044308,10.059082,-0.010883,0.010662,0.003130,-0.061035,0.061035,0.000000
0.940324,-0.073647,0.038320,10.056687,-0.003099,0.004675,0.000735,0.000000,0.061035,0.000000
0.950417,-0.064666,0.032932,10.053094,0.005882,-0.000714,-0.002858,-0.030518,0.030518,-0.061035
0.960512,-0.062271,0.031734,10.053693,0.008277,-0.001912,-0.002259,-0.061035,0.000000,-0.030518
0.970633,-0.064067,0.028740,10.056687,0.006481,-0.004905,0.000735,-0.061035,0.030518,0.000000
0.980728,-0.070653,0.025746,10.054292,-0.000106,-0.007899,-0.001660,-0.030518,0.000000,0.000000
0.990822,-0.074246,0.026345,10.053693,-0.003698,-0.007300,-0.002259,-0.030518,0.030518,-0.061035
1.000957,-0.071851,0.028141,10.048903,-0.001303,-0.005504,-0.007049,0.000000,0.030518,0.000000
1.011052,-0.076641,0.026944,10.062076,-0.006093,-0.006702,0.006124,0.000000,0.030518,0.000000
1.021150,-0.074246,0.029339,10.055490,-0.003698,-0.004307,-0.000463,0.030518,0.030518,-0.030518
1.031244,-0.070054,0.030536,10.052496,0.000493,-0.003109,-0.003456,0.000000,0.061035,-0.030518
1.041340,-0.062869,0.034129,10.040521,0.007678,0.000483,-0.015431,0.030518,0.061035,-0.030518
1.051434,-0.065264,0.036524,10.041718,0.005283,0.002879,-0.014234,0.091553,0.061035,0.000000
1.061530,-0.052092,0.050295,10.054292,0.018456,0.016650,-0.001660,0.122070,0.030518,0.000000
1.071649,-0.048499,0.052092,10.059681,0.022048,0.018446,0.003729,0.122070,0.030518,0.000000
1.081743,-0.059875,0.036524,10.059082,0.010672,0.002879,0.003130,0.061035,0.000000,0.000000
1.091836,-0.061073,0.032932,10.053094,0.009475,-0.000714,-0.002858,0.030518,0.030518,0.000000
1.101933,-0.059277,0.037123,10.045311,0.011271,0.003477,-0.010641,0.000000,0.030518,0.000000
1.112028,-0.065264,0.038320,10.048903,0.005283,0.004675,-0.007049,0.000000,0.030518,-0.030518
1.122124,-0.067061,0.040117,10.047706,0.003487,0.006471,-0.008246,-0.030518,0.030518,-0.061035
1.132218,-0.061672,0.032932,10.042916,0.008876,-0.000714,-0.013036,-0.030518,0.000000,-0.091553
