time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.000710,0.068258,-0.319136,10.050699,0.009764,-0.001647,-0.003526,0.061035,0.061035,0.030518
0.010803,0.064666,-0.322729,10.051897,0.006172,-0.005240,-0.002328,0.061035,0.061035,0.030518
0.020869,0.060474,-0.326321,10.048304,0.001980,-0.008832,-0.005921,0.091553,0.000000,0.030518
0.030936,0.059875,-0.323926,10.047706,0.001382,-0.006437,-0.006520,0.091553,-0.030518,0.000000
0.041002,0.052092,-0.316143,10.051298,-0.006402,0.001346,-0.002927,0.061035,0.000000,0.030518
0.051068,0.050295,-0.314346,10.053094,-0.008198,0.003143,-0.001131,0.061035,0.000000,0.000000
0.061134,0.053888,-0.312550,10.056088,-0.004606,0.004939,0.001863,0.030518,0.030518,0.000000
0.071201,0.064067,-0.311951,10.051897,0.005573,0.005538,-0.002328,0.030518,0.030518,0.030518
0.081303,0.062271,-0.314346,10.051897,0.003777,0.003143,-0.002328,0.061035,0.030518,0.030518
0.091369,0.060474,-0.319735,10.047706,0.001980,-0.002246,-0.006520,0.091553,0.061035,0.000000
0.101433,0.066462,-0.327519,10.054292,0.007968,-0.010030,0.000067,0.091553,0.061035,0.030518
0.111497,0.056882,-0.319735,10.053693,-0.001612,-0.002246,-0.000532,0.091553,0.061035,0.030518
0.121562,0.059875,-0.316143,10.050699,0.001382,0.001346,-0.003526,0.091553,0.061035,0.030518
0.131627,0.062271,-0.314945,10.050699,0.003777,0.002544,-0.003526,0.030518,0.030518,0.061035
0.141693,0.058079,-0.317939,10.048304,-0.000415,-0.000450,-0.005921,0.030518,0.030518,0.061035
0.151758,0.055684,-0.316143,10.056687,-0.002810,0.001346,0.002462,0.000000,0.030518,0.061035
0.161824,0.055684,-0.314346,10.068063,-0.002810,0.003143,0.013838,0.030518,0.000000,0.030518
0.171889,0.056882,-0.315544,10.066866,-0.001612,0.001945,0.012640,0.030518,-0.030518,0.030518
0.181954,0.052690,-0.311353,10.054891,-0.005803,0.006136,0.000665,0.000000,0.000000,0.030518
0.192019,0.058079,-0.313149,10.049502,-0.000415,0.004340,-0.004723,-0.030518,0.000000,0.030518
0.202085,0.058079,-0.314945,10.047107,-0.000415,0.002544,-0.007118,-0.061035,0.000000,0.030518
0.212149,0.056283,-0.317340,10.057885,-0.002211,0.000149,0.003659,-0.061035,0.000000,0.061035
0.222215,0.054487,-0.310754,10.057885,-0.004007,0.006735,0.003659,-0.030518,0.000000,0.061035
0.232280,0.053289,-0.316143,10.059681,-0.005205,0.001346,0.005455,0.000000,-0.061035,0.061035
0.242352,0.050894,-0.319735,10.056687,-0.007600,-0.002246,0.002462,0.000000,-0.061035,0.061035
0.252419,0.055684,-0.313149,10.057286,-0.002810,0.004340,0.003060,0.000000,-0.061035,0.061035
0.262484,0.048499,-0.319136,10.062675,-0.009995,-0.001647,0.008449,0.030518,-0.030518,0.091553
0.272549,0.049697,-0.319136,10.053693,-0.008797,-0.001647,-0.000532,0.000000,0.000000,0.061035
0.282617,0.046703,-0.319735,10.056687,-0.011791,-0.002246,0.002462,0.000000,0.000000,0.061035
0.292681,0.043709,-0.320933,10.052496,-0.014785,-0.003444,-0.001730,0.000000,0.030518,0.061035
0.302747,0.055684,-0.327519,10.054891,-0.002810,-0.010030,0.000665,0.030518,0.030518,0.030518
0.312813,0.054487,-0.326321,10.056687,-0.004007,-0.008832,0.002462,0.030518,0.030518,0.061035
0.322878,0.051493,-0.326920,10.053693,-0.007001,-0.009431,-0.000532,0.030518,0.000000,0.030518
0.332944,0.052690,-0.327519,10.049502,-0.005803,-0.010030,-0.004723,0.061035,0.000000,0.030518
0.343010,0.058079,-0.326920,10.051897,-0.000415,-0.009431,-0.002328,0.061035,-0.030518,0.061035
0.353076,0.052690,-0.323926,10.055490,-0.005803,-0.006437,0.001264,0.030518,-0.030518,0.061035
0.363141,0.050894,-0.319136,10.054891,-0.007600,-0.001647,0.000665,0.000000,0.000000,0.061035
0.373222,0.050295,-0.315544,10.064471,-0.008198,0.001945,0.010245,0.000000,0.000000,0.030518
0.383343,0.047900,-0.312550,10.055490,-0.010593,0.004939,0.001264,0.000000,0.000000,0.030518
0.393440,0.044308,-0.308958,10.054891,-0.014186,0.008532,0.000665,0.000000,0.030518,0.030518
0.403547,0.043110,-0.311353,10.064471,-0.015384,0.006136,0.010245,0.030518,0.030518,0.030518
0.413761,0.049697,-0.313748,10.058483,-0.008797,0.003741,0.004258,0.030518,-0.030518,0.030518
0.423843,0.055085,-0.313748,10.060878,-0.003408,0.003741,0.006653,0.030518,-0.030518,0.000000
0.433910,0.054487,-0.310754,10.060280,-0.004007,0.006735,0.006054,0.091553,-0.030518,0.030518
0.443977,0.051493,-0.312550,10.056687,-0.007001,0.004939,0.002462,0.091553,0.000000,0.000000
0.454042,0.050295,-0.313748,10.053693,-0.008198,0.003741,-0.000532,0.091553,0.030518,0.000000
0.464108,0.047900,-0.308958,10.057885,-0.010593,0.008532,0.003659,0.061035,0.000000,0.030518
0.474174,0.055085,-0.309556,10.050699,-0.003408,0.007933,-0.003526,0.030518,0.000000,0.000000
0.484263,0.049697,-0.313149,10.046508,-0.008797,0.004340,-0.007717,0.091553,0.000000,0.061035
0.494353,0.052690,-0.315544,10.051897,-0.005803,0.001945,-0.002328,0.091553,0.030518,0.030518
0.504419,0.046703,-0.316143,10.054292,-0.011791,0.001346,0.000067,0.030518,0.061035,0.000000
0.514486,0.052092,-0.311951,10.056687,-0.006402,0.005538,0.002462,0.091553,0.000000,0.030518
0.524551,0.049697,-0.310155,10.060280,-0.008797,0.007334,0.006054,0.091553,0.030518,0.000000
0.534617,0.057480,-0.305365,10.065668,-0.001013,0.012124,0.011443,0.061035,0.030518,0.030518
0.544683,0.055684,-0.306563,10.064471,-0.002810,0.010927,0.010245,0.061035,0.030518,0.030518
0.554749,0.054487,-0.305365,10.062076,-0.004007,0.012124,0.007850,0.061035,0.030518,0.061035
0.564830,0.052690,-0.307760,10.058483,-0.005803,0.009729,0.004258,0.030518,0.030518,0.030518
0.574923,0.052092,-0.308359,10.064471,-0.006402,0.009130,0.010245,0.061035,0.000000,0.091553
0.584990,0.044308,-0.311353,10.060280,-0.014186,0.006136,0.006054,0.061035,0.000000,0.061035
0.595056,0.046104,-0.311353,10.054292,-0.012390,0.006136,0.000067,0.061035,0.000000,0.030518
0.605122,0.049697,-0.305365,10.059681,-0.008797,0.012124,0.005455,0.061035,-0.030518,0.000000
0.615188,0.053289,-0.308958,10.057885,-0.005205,0.008532,0.003659,0.091553,-0.030518,0.030518
0.625255,0.052092,-0.316741,10.059082,-0.006402,0.000748,0.004857,0.122070,-0.030518,0.030518
0.635320,0.057480,-0.320334,10.056088,-0.001013,-0.002845,0.001863,0.122070,-0.030518,0.030518
0.645397,0.060474,-0.324525,10.061477,0.001980,-0.007036,0.007252,0.122070,-0.030518,0.000000
0.655466,0.063468,-0.321531,10.062675,0.004974,-0.004042,0.008449,0.122070,0.000000,0.061035
