time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.000777,-0.156874,-0.173639,10.083032,-0.005563,0.000347,0.002411,-0.030518,0.061035,-0.061035
0.010843,-0.155078,-0.170046,10.083631,-0.003767,0.003940,0.003010,-0.030518,0.030518,-0.061035
0.020911,-0.157473,-0.176034,10.085427,-0.006162,-0.002048,0.004807,-0.030518,0.030518,-0.030518
0.030977,-0.152682,-0.173040,10.089619,-0.001372,0.000946,0.008998,0.000000,0.000000,-0.030518
0.041044,-0.150287,-0.162263,10.092612,0.001023,0.011724,0.011992,0.030518,0.000000,0.030518
0.051112,-0.151485,-0.170645,10.095007,-0.000174,0.003341,0.014387,0.061035,0.000000,0.000000
0.061178,-0.149689,-0.170645,10.087224,0.001622,0.003341,0.006603,0.061035,-0.030518,0.000000
0.071244,-0.146096,-0.167053,10.077045,0.005214,0.006934,-0.003576,0.061035,0.000000,0.000000
0.081312,-0.151485,-0.167053,10.071656,-0.000174,0.006934,-0.008965,0.061035,0.030518,-0.030518
0.091378,-0.144300,-0.167053,10.080038,0.007011,0.006934,-0.000582,0.000000,0.030518,-0.030518
0.101444,-0.142504,-0.173040,10.078841,0.008807,0.000946,-0.001780,0.000000,0.030518,-0.030518
0.111521,-0.144899,-0.171843,10.075847,0.006412,0.002144,-0.004774,0.000000,0.061035,0.000000
0.121589,-0.142504,-0.178429,10.063872,0.008807,-0.004443,-0.016749,0.000000,0.061035,0.000000
0.131655,-0.144899,-0.176034,10.067465,0.006412,-0.002048,-0.013156,0.030518,0.030518,0.000000
0.141722,-0.142504,-0.176633,10.068662,0.008807,-0.002646,-0.011959,0.030518,0.030518,0.000000
0.151787,-0.147892,-0.180824,10.072255,0.003418,-0.006838,-0.008366,0.000000,0.030518,0.000000
0.161854,-0.148491,-0.171843,10.078841,0.002819,0.002144,-0.001780,0.030518,0.030518,0.030518
0.171921,-0.146096,-0.170645,10.071656,0.005214,0.003341,-0.008965,0.030518,0.030518,0.030518
0.181988,-0.146695,-0.171244,10.072853,0.004616,0.002742,-0.007767,0.000000,0.030518,0.000000
0.192055,-0.152682,-0.166454,10.077045,-0.001372,0.007532,-0.003576,0.000000,0.030518,0.000000
0.202121,-0.152682,-0.173040,10.078242,-0.001372,0.000946,-0.002379,-0.030518,0.030518,-0.030518
0.212187,-0.150287,-0.172441,10.075248,0.001023,0.001545,-0.005372,-0.030518,0.061035,-0.061035
0.222254,-0.148491,-0.174836,10.073452,0.002819,-0.000850,-0.007169,-0.030518,0.030518,-0.030518
0.232320,-0.146096,-0.176633,10.081236,0.005214,-0.002646,0.000615,-0.030518,0.061035,-0.030518
0.242386,-0.149090,-0.183219,10.084230,0.002221,-0.009233,0.003609,-0.030518,0.030518,-0.030518
0.252454,-0.151485,-0.176034,10.079440,-0.000174,-0.002048,-0.001181,0.000000,0.030518,0.000000
0.262522,-0.155078,-0.175435,10.077045,-0.003767,-0.001449,-0.003576,-0.030518,0.061035,-0.030518
0.272589,-0.154479,-0.174238,10.074650,-0.003168,-0.000251,-0.005971,-0.061035,0.061035,0.000000
0.282654,-0.153880,-0.169448,10.071656,-0.002569,0.004539,-0.008965,-0.061035,0.061035,0.030518
0.292720,-0.153880,-0.165256,10.078242,-0.002569,0.008730,-0.002379,-0.030518,0.061035,0.000000
0.302785,-0.161664,-0.164059,10.072853,-0.010353,0.009927,-0.007767,-0.030518,0.000000,0.000000
0.312851,-0.161664,-0.171843,10.074051,-0.010353,0.002144,-0.006570,-0.061035,0.000000,0.000000
0.322917,-0.155078,-0.173639,10.071057,-0.003767,0.000347,-0.009564,-0.030518,0.030518,0.000000
0.332983,-0.144300,-0.173040,10.075248,0.007011,0.000946,-0.005372,-0.030518,0.030518,0.000000
0.343049,-0.150886,-0.169448,10.081835,0.000424,0.004539,0.001214,0.000000,0.000000,0.000000
0.353115,-0.149090,-0.177830,10.075248,0.002221,-0.003844,-0.005372,0.000000,0.030518,0.030518
0.363180,-0.146695,-0.179626,10.080038,0.004616,-0.005640,-0.000582,0.030518,0.000000,0.000000
0.373248,-0.144899,-0.176633,10.074051,0.006412,-0.002646,-0.006570,0.030518,0.030518,-0.030518
0.383314,-0.145497,-0.174836,10.077045,0.005813,-0.000850,-0.003576,0.061035,0.030518,-0.030518
0.393380,-0.149090,-0.174836,10.081236,0.002221,-0.000850,0.000615,0.061035,0.030518,-0.030518
0.403445,-0.149090,-0.174238,10.084828,0.002221,-0.000251,0.004208,0.061035,0.000000,-0.030518
0.413511,-0.146096,-0.173639,10.078242,0.005214,0.000347,-0.002379,0.030518,0.000000,0.000000
0.423577,-0.155676,-0.176034,10.077045,-0.004366,-0.002048,-0.003576,-0.030518,0.030518,0.000000
0.433644,-0.156874,-0.171843,10.083032,-0.005563,0.002144,0.002411,0.000000,0.030518,-0.030518
0.443711,-0.155078,-0.165855,10.090816,-0.003767,0.008131,0.010195,0.000000,0.000000,-0.030518
