t,frame,x_meas,y_meas,major_sigma,minor_sigma,theta,strength_sum,strength_max,bg_std,snr_proxy,xcor_r0_c0,xcor_r0_c1,xcor_r0_c2,xcor_r0_c3,xcor_r0_c4,xcor_r1_c0,xcor_r1_c1,xcor_r1_c2,xcor_r1_c3,xcor_r1_c4,xcor_r2_c0,xcor_r2_c1,xcor_r2_c2,xcor_r2_c3,xcor_r2_c4,xcor_r3_c0,xcor_r3_c1,xcor_r3_c2,xcor_r3_c3,xcor_r3_c4,xcor_r4_c0,xcor_r4_c1,xcor_r4_c2,xcor_r4_c3,xcor_r4_c4,xcor_r5_c0,xcor_r5_c1,xcor_r5_c2,xcor_r5_c3,xcor_r5_c4,xcor_r6_c0,xcor_r6_c1,xcor_r6_c2,xcor_r6_c3,xcor_r6_c4
1772328222.161141,0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.00648772793862,-1.047206049824482,-1.0641707258428004,-1.0262275965485084,-1.428535154883284,-0.9572238871126044,-1.0075182923696395,-1.0027201178932335,-0.9595520448150687,-1.5231044916039103,-0.9195424222400688,-0.9399498629510243,-0.9930516473116453,-0.9031165722747532,-1.4825131276265542,-0.8281935248605641,-0.9244693427645383,-0.9281004581571168,-0.8610178066513308,-1.6018964769716832,-0.906156409520674,-0.9275568637319642,-0.9544457142884388,-0.8708931053749445,-1.5432860306842366,-0.8935845963459719,-0.9409857918007125,-0.9853352290791539,-0.8515800060725218,-1.5023424032142652,-0.7362771911951529,-0.7958186621449792,-0.7865215285446083,-0.7082439313225668,-1.7375471279081258
1772328222.2444773,1,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.205028439167552,-1.1658896405565318,-1.1889506803692198,-1.2267900975692383,-1.2376643702583754,-1.1768717976655725,-1.2166507502377928,-1.2327916899671183,-1.2310762680859884,-1.1933036080960762,-1.2707717741455755,-1.2159176130196587,-1.2183864377005622,-1.2049920803299046,-1.212813402749706,-1.1915619601681189,-1.2493987380741518,-1.2555833167533055,-1.2159533758107872,-1.2246163159151453,-1.234250215798642,-1.191661499936759,-1.168291708027329,-1.2058533675495826,-1.1958600516152447,-1.1814959265584861,-1.196178936502807,-1.246398239898471,-1.1649210649634683,-1.198473715600219,-1.2851418596675226,-1.2384523437562405,-1.2219597365808177,-1.2086059103734388,-1.2119020476224476
1772328222.326512,2,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2246777087065825,-1.1851431352070736,-1.1833037356500309,-1.1903430450371553,-1.2177158853669034,-1.254354268831523,-1.2560160465259602,-1.213604952526683,-1.178037664656361,-1.1835189084433213,-1.2147869127734796,-1.1839772682162848,-1.1450435096077345,-1.189333342234295,-1.2483991680621107,-1.266951712006534,-1.2416936447255185,-1.1876572594234065,-1.2376846358400146,-1.1949278348598285,-1.2524373832270363,-1.2280328545609538,-1.1893828140953562,-1.181077501902283,-1.1930425397208384,-1.2059046275502001,-1.2382318065442806,-1.179604670954308,-1.1889292226945432,-1.2682737431852507,-1.2588985274909166,-1.2634070233591819,-1.2211461330826447,-1.1970455881411541,-1.2055869347556754
1772328222.4085405,3,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2228466538008038,-1.2422133972899192,-1.1994732856122594,-1.217359449548656,-1.2031628135636827,-1.2032844070535194,-1.2788106535447414,-1.2016488554059097,-1.2202407384205745,-1.2102378857419354,-1.2466426189711828,-1.1949820750930402,-1.172159453887875,-1.1863024456861555,-1.220345046561366,-1.2428839496235784,-1.2480564413137958,-1.2247998982429382,-1.2254007131338969,-1.1586315820970046,-1.2278450999075292,-1.2293697869026405,-1.195073270210418,-1.1437035970334537,-1.2360669655879695,-1.20149865168317,-1.2007738591162993,-1.1978842255931172,-1.2063659675557576,-1.2163712044204718,-1.3041777973386985,-1.2208957935447446,-1.2211735512225093,-1.260631830767611,-1.2191219591047713
1772328222.490658,4,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2406857300622138,-1.2035424951961633,-1.17797329163233,-1.169356843156439,-1.2497742473810012,-1.2668259461910656,-1.2344069760330885,-1.1864741070835723,-1.2203426623752907,-1.2058146245258599,-1.2491996585368699,-1.2042696719491093,-1.1875601038408408,-1.1977727648941001,-1.224046495443165,-1.2548597162794723,-1.2406583119223489,-1.2122328534403866,-1.219527270737561,-1.2293262755067675,-1.2298543727224316,-1.1674685677848546,-1.1912782420251662,-1.233388928578964,-1.2266166480322658,-1.2487567959733954,-1.2114907755244704,-1.239768414469768,-1.2295533692304335,-1.176966569062063,-1.2845160108227738,-1.1848331910172933,-1.2149192351006541,-1.2252773315045036,-1.2085093508373919
1772328222.5716972,5,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2372870728119696,-1.2493677436551738,-1.2137956874127016,-1.2258000643014983,-1.1833543996041305,-1.2189604304981745,-1.2128426090291273,-1.221618797972059,-1.1956871981247903,-1.217781450483972,-1.2248261242897658,-1.1991305588639447,-1.229018715503062,-1.1967058416254335,-1.1990769146772529,-1.2499763071508774,-1.221754696578347,-1.2033118251933845,-1.2614490105448968,-1.2345696967327233,-1.201635742382496,-1.1999930381766606,-1.174055477864204,-1.1500443399005351,-1.245775371286317,-1.266930850378376,-1.2471695240938092,-1.2116248859912022,-1.202911877979264,-1.1928661099512712,-1.2342680971942062,-1.1995769977065325,-1.1829794863438,-1.1778141472118082,-1.2455846364002985
1772328222.652795,6,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2117536320392648,-1.2448246770888178,-1.2131030813578467,-1.1881895289647018,-1.186891339646738,-1.253276020678999,-1.2639512138308535,-1.1970652576762748,-1.1900021064283979,-1.20618476941404,-1.234917787899707,-1.2624038770680275,-1.2007261753947946,-1.199512624682501,-1.215077783474658,-1.2455739075629595,-1.2487746773689596,-1.1836577872822036,-1.2762714953746186,-1.2056888587103916,-1.2261040480260905,-1.2115152134317415,-1.2069006212831286,-1.1916096438896235,-1.222741153566975,-1.2660045940881481,-1.256508380950496,-1.2209863926156035,-1.2200196051620966,-1.203772569152423,-1.1990858553750345,-1.1961723799910997,-1.1646987396119526,-1.1674632033661854,-1.2497426569155046
1772328222.7338893,7,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.227563169904133,-1.2586815665580704,-1.2466152008313174,-1.1774130079046503,-1.2218697335564772,-1.208338285486494,-1.2113626255229266,-1.1535449211054956,-1.2079377422258548,-1.236357240242629,-1.2680901608574577,-1.2114788545940942,-1.2042929177633426,-1.2449003749967062,-1.2177671453675205,-1.2238480119524016,-1.2043382172987722,-1.2130166546126193,-1.1764158220786842,-1.2047566419549756,-1.245995908498276,-1.222787049148923,-1.2030567172833346,-1.2104119313254273,-1.1814798333024785,-1.2745566695400075,-1.2605960679764823,-1.2129135385648655,-1.2473244961886993,-1.22156813401796,-1.2140168206711794,-1.2236036328796898,-1.1895324217715766,-1.1831058482057872,-1.2337030450943764
1772328222.8153095,8,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2265445264034898,-1.2391926335326,-1.2467361982746359,-1.2286438022427322,-1.194814586021255,-1.1837680558881831,-1.1830682972751023,-1.1740417687942706,-1.2420864393814122,-1.2463398273396287,-1.2421007444978645,-1.2382920072426802,-1.2000544309680976,-1.1898846852641924,-1.217861916764011,-1.216445114188804,-1.2356366200013897,-1.202961349840325,-1.1778594467472376,-1.2265314133800762,-1.245433240584521,-1.2261106045377974,-1.2329103032243611,-1.2053324228921443,-1.2051488405643513,-1.2420393517064274,-1.2194229625967696,-1.231089977155921,-1.2119056239015606,-1.2058044917350403,-1.2537987534759938,-1.1954899067270648,-1.1848170977612855,-1.1714596952747942,-1.2200696730696767
1772328222.896525,9,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2367810293175014,-1.2484301624810885,-1.2234570054360634,-1.2017978670356118,-1.2080515871109472,-1.2327827492693364,-1.2553276127967368,-1.2274219068791754,-1.2159408588338925,-1.165762086601507,-1.2433977417227913,-1.2359566969819895,-1.1578853318554567,-1.1970110174430633,-1.2006576300451317,-1.155212063218602,-1.2220896747219174,-1.2010003567934464,-1.1902262199194698,-1.2409724284377608,-1.228641418056657,-1.2414719154205216,-1.2111677183112763,-1.2633027152183902,-1.225276139411466,-1.1790914749016141,-1.2196989321349778,-1.2280376229331043,-1.16678073010215,-1.1900360810799702,-1.245529204074049,-1.258543283765707,-1.2559755153626817,-1.1735017506482308,-1.227341440599136
